foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state,original_score,adjusted_score,grant_type_match_pct,grant_type_grants,state_match_pct,adjusted_rank
562156876,THE EDWARD M ARMFIELD SR FOUNDATION I,NC,99.9,0.9994130152423184,23,True,99.9,70.3,0.24752475247524752,1,78.46534653465346,1
831416177,WILLIAM DEWITT CHARITABLE FOUNDATION,NC,100.0,0.9999962120860796,7,True,100.0,70.0,0.0,0,100.0,2
566526359,William Harold Smith Charitable Trust,NC,100.0,0.9997136645552804,18,True,100.0,70.0,0.0,0,82.35294117647058,3
850834021,Valerie Harris Ministries Refreshed Kingdom Center,TN,100.0,0.9997515603361364,17,False,100.0,70.0,0.0,0,100.0,4
566312873,JULE C MODLIN SCHOLARSHIP FUND,NC,100.0,0.9999925797659248,8,True,100.0,70.0,0.0,0,100.0,5
810704727,1880 FOUNDATION,NC,100.0,0.9998118968871134,15,True,100.0,70.0,0.0,0,69.56521739130434,6
566034567,BRYAN FOUNDATION INC CO FIRST CITIZENS,NC,100.0,0.9998503424028466,14,True,100.0,70.0,0.0,0,100.0,7
562058027,WINSTON FAMILY FOUNDATION INC,NC,100.0,0.99989637112787,13,True,100.0,70.0,0.0,0,100.0,8
582115961,FINANCIAL EXAMINERS EDUCATIONAL,WI,100.0,0.9999479537041792,12,False,100.0,70.0,0.0,0,100.0,9
581484629,MARY DUKE BIDDLE TRENT SEMANS FOUNDATION,NC,100.0,0.9999674247086836,11,True,100.0,70.0,0.0,0,100.0,10
263549628,RON AND SHARON MATTHEWS FAMILY,NC,100.0,0.9995803556684488,20,True,100.0,70.0,0.0,0,72.72727272727273,11
261595087,Durham Sports Club Scholarship Foundatio,NC,100.0,0.9995114423388712,21,True,100.0,70.0,0.0,0,82.35294117647058,12
566290640,TR UW PERRY MEM SCHOLARSHIP,TX,100.0,0.999702105678022,19,False,100.0,70.0,0.0,0,60.0,13
561923903,TOM AND BRENDA NASH FOUNDATION INC,NC,100.0,0.9999962275453564,6,True,100.0,70.0,0.0,0,100.0,14
561795876,THE LOVETT FOUNDATION,NC,99.9,0.9990163692695416,27,True,99.9,69.9,0.0,0,86.4406779661017,15
912052930,DONNIE M ROYAL FOUNDATION,NC,99.9,0.9993578532342235,25,True,99.9,69.9,0.0,0,100.0,16
566128334,BENNETT LILLIE MEM FOUNDATION CO BB&T,FL,99.9,0.9994038963788988,24,False,99.9,69.9,0.0,0,87.5,17
566037907,TA THOMAS AUSTIN FINCH FOUNDATION,MA,99.9,0.9994980832839698,22,False,99.9,69.9,0.0,0,82.02247191011236,18
522329196,EUNICE A TURNER FOUNDATION INC,NC,99.8,0.9979772783154508,39,True,99.8,69.9,0.0,0,60.0,19
566044443,COZART FOUNDATION INC,NC,99.8,0.9978121300488592,40,True,99.8,69.9,0.0,0,93.33333333333333,20
273019321,BRIAN J VOSBURGH CHARITABLE TRUST,NC,99.8,0.9980983354797416,37,True,99.8,69.9,0.0,0,53.333333333333336,21
562168849,RICHMOND COMMUNITY FOUNDATION,NC,99.8,0.9980631684752848,38,True,99.8,69.9,0.0,0,100.0,22
760533496,Redstone Summit Foundation,NC,99.8,0.9977679307527424,42,True,99.8,69.9,0.0,0,64.86486486486487,23
561544614,WOODSON FAMILY FOUNDATION INC,NC,99.8,0.9975692171616436,43,True,99.8,69.9,0.0,0,78.99159663865547,24
357033142,Evelyn D Schmidt Charitable Trust,NC,99.8,0.9982705219782508,36,True,99.8,69.9,0.0,0,88.1578947368421,25
566044941,FA Furniture Foundation,NC,99.8,0.998307085136844,35,True,99.8,69.9,0.0,0,54.02298850574713,26
136690071,UW JEAN MAUZE CHARITABLE TRUST,TX,99.9,0.9988126935094732,31,False,99.9,69.9,0.0,0,50.0,27
562226009,Blue Cross and Blue Shield of NC Foundation,NC,99.9,0.9989906953732256,28,True,99.9,69.9,0.0,0,99.27007299270073,28
566042532,THE CANNON FOUNDATION INC,NC,99.9,0.9989629144302088,29,True,99.9,69.9,0.0,0,97.49804534792807,29
873904857,UWHARRIE CAPITAL CORP COMMUNITY,NC,99.9,0.9989307118950896,30,True,99.9,69.9,0.0,0,100.0,30
546603260,ANNE CANNON TRUST,PA,99.8,0.998365690829287,34,False,99.8,69.9,0.0,0,100.0,31
208088041,NANCY A WRIGHT FOUNDATION INC,NC,99.9,0.9985847641669948,32,True,99.9,69.9,0.0,0,100.0,32
566037909,BROWN F FINCH FOUNDATION,TX,99.7,0.9971638981661612,47,False,99.7,69.8,0.0,0,100.0,33
562120806,HARRIETT & GEORGE THORPE FOUNDATION,NC,99.7,0.997492584404745,44,True,99.7,69.8,0.0,0,85.71428571428571,34
566045483,TANNENBAUM-STERNBERGER FOUNDATION INC,NC,99.7,0.9969395606475636,50,True,99.7,69.8,0.0,0,99.20634920634922,35
871437780,John Lynn & Luisa Lee,NC,99.7,0.9970013189978636,49,True,99.7,69.8,0.0,0,65.15151515151516,36
874025420,D & L REYNOLDS FOUNDATION INC,NC,99.7,0.9974253848893148,45,True,99.7,69.8,0.0,0,93.33333333333333,37
541807854,BRADLEY W JACKSON FOUNDATION,NC,99.7,0.9973309933909328,46,True,99.7,69.8,0.0,0,33.33333333333333,38
222621967,GE FOUNDATION,CT,99.8,0.9977806299220304,41,False,99.8,56.6,0.0,0,3.3333333333333335,39
136123529,AMERICAN EXPRESS FOUNDATION,NY,100.0,0.9998079306167368,16,False,100.0,56.4,0.0,0,3.181625947493412,40
431262762,Enterprise Holdings Foundation,MO,100.0,0.9999839196989126,10,False,100.0,55.1,0.0,0,2.537444933920705,41
237049738,JPMORGAN CHASE FOUNDATION,NY,100.0,0.9999995800950006,4,False,100.0,52.3,0.0,0,1.1313615674227808,42
131684331,THE FORD FOUNDATION,NY,100.0,0.9999884487337964,9,False,100.0,51.4,0.0351576233446619,6,0.6621352396577992,43
471295073,ALFRED AND ISABEL BADER 2014 CHARITABLE TRUST,WI,100.0,0.999999999973956,3,False,100.0,50.0,0.0,0,0.0,44
223769097,NSN Foundation Inc,NJ,100.0,1.0,1,False,100.0,50.0,0.0,0,0.0,45
411359579,US BANK FOUNDATION,WI,100.0,0.9999999999999948,2,False,100.0,50.0,0.0,0,0.0,46
770443347,Cisco Systems Foundation,CA,100.0,0.9999994925391836,5,False,100.0,50.0,0.0,0,0.0,47
836582316,EBOR CHARITABLE TRUST,WY,99.9,0.9991886311091982,26,False,99.9,49.9,0.0,0,0.0,48
133127947,BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,99.8,0.9984763591175436,33,False,99.8,49.9,0.0,0,0.0,49
46131201,FIDELITY FOUNDATION,MA,99.7,0.997158681272274,48,False,99.7,49.8,0.0,0,0.0,50
