foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
The Wellmark Foundation,IA,74300021,1,1,0,0,19315,2023,t,t,
CENTERPOINT ENERGY FOUNDATION INC,TX,74130417,1,1,0,0,18000,2023,f,t,
LEVI STRAUSS FOUNDATION,CA,73515302,1,2,0,0,22500,2019,f,t,
AMERICAN EXPRESS FOUNDATION,NY,71012960,1,16,0,0,60,2023,t,t,
BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,68802568,1,3,0,0,100,2023,t,t,
EGG FOUNDATION,CA,67372200,1,2,0,0,25000,2023,f,t,
PEPSICO FOUNDATION INC,NY,66360081,1,1,0,0,250000,2023,f,t,
TEXAS INSTRUMENTS FOUNDATION,TX,65955596,1,1,0,0,53,2022,t,t,
THE JACOBSON FAMILY FOUNDATION,NY,65472806,1,5,0,0,15000,2023,f,t,
LAUGHING GULL FOUNDATION,NC,59203248,1,4,0,0,20000,2023,f,t,
CME GROUP FOUNDATION,IL,59188963,1,1,0,0,5000,2019,f,t,
REYNOLDS AMERICAN FOUNDATION,NC,54263213,1,2,0,0,425,2020,t,t,
The Boler Family Foundation,IL,52168272,1,4,0,0,300000,2023,f,t,
THE BOLICK FOUNDATION,NC,51896881,1,2,0,0,57500,2023,f,t,
THE IMLAY FOUNDATION INC,GA,48606576,1,1,0,0,25000,2022,f,t,
MAX AND HELEN GUERNSEY,IA,48163592,1,1,0,0,5000,2019,t,t,
AbbVie Foundation,IL,47404120,1,1,0,0,25,2019,f,t,
PINETOPS FOUNDATION,OR,46150357,1,2,0,0,50000,2023,f,t,
EAST WEST BANK FOUNDATION,CA,43060389,1,2,0,0,5000,2023,f,t,
THE CEDARCREST CHARITABLE FOUNDATION AKA,DE,42810860,1,2,0,0,7500,2024,t,t,
BOTHIN FOUNDATION,CA,42569751,2,2,0,0,40200,2023,t,t,
SMART FAMILY FOUNDATION OF ILLINOIS,IL,40731293,1,5,0,0,10000,2024,f,t,
LES PAUL FOUNDATION,NY,40720533,1,1,0,0,2500,2022,t,t,
THE SARA GILES MOORE FOUNDATION,GA,39299207,1,4,0,0,50000,2023,f,t,
JOHN A AND MARGARET POST FOUNDATION,PA,35994786,1,1,0,0,36993,2023,f,t,
JOHN H & WILHELMINA D HARLAND,GA,35814355,1,3,0,0,25000,2023,t,t,
KOVLER FAMILY FOUNDATION,IL,35325473,1,3,0,0,2000,2023,t,t,
CHARLES SCHWAB FOUNDATION,CO,34932887,2,2,0,0,1000,2020,t,t,
Gerbode Foundation,CA,34211484,1,1,0,0,40000,2020,t,t,
MAZZA FOUNDATION,IL,33596750,1,3,0,0,10000,2021,t,t,
SHELL USA COMPANY FOUNDATION,TX,33040486,1,3,0,0,1000,2021,f,t,
ALLIANT ENERGY FOUNDATION INC,WI,30922435,1,7,0,0,796,2023,t,t,
KIMSEY FOUNDATION,DC,29854028,1,2,0,0,3750,2022,f,t,
RELAY ADMINISTRATION BOARD,LA,28501040,1,1,0,0,9000,2023,f,t,
LULUMA CHARITABLE TRUST XXXXX8009,IL,27319244,1,1,0,0,20000,2023,f,t,
