foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state,original_score,adjusted_score,grant_type_match_pct,grant_type_grants,state_match_pct,adjusted_rank
873374164,GARY AND MARY WEST CHARITABLE TRUST,CA,99.7,0.9967381579229478,41,True,99.7,99.8,29.03225806451613,9,51.61290322580645,1
954797873,PETER AND CANDIS DOERKEN FOUNDATION,CA,99.9,0.9987401283959602,26,True,99.9,76.2,4.166666666666666,1,87.5,2
954523232,THE CALIFORNIA ENDOWMENT,CA,99.8,0.9977385444301624,37,True,99.8,76.2,4.174929548063877,400,90.62728316459659,3
131684331,THE FORD FOUNDATION,NY,100.0,0.9999356547176164,8,False,100.0,70.2,1.9746865111918435,337,8.613617719442166,4
262856534,MASSEN-GREENE CHARITABLE TRUST,HI,100.0,0.9995487974466248,15,False,100.0,70.0,0.0,0,100.0,5
873698354,JONATHAN PORT FOUNDATION,CA,100.0,0.99976725653162,10,True,100.0,70.0,0.0,0,100.0,6
770210442,THE SIK-KEE AU FAMILY FOUNDATION,CA,100.0,0.9995993134600294,14,True,100.0,70.0,0.0,0,100.0,7
770443347,Cisco Systems Foundation,CA,100.0,0.999999579989068,5,True,100.0,70.0,0.0,0,80.0,8
800316636,GOOD KARMA FOUNDATION,CA,100.0,0.999891619233754,9,True,100.0,70.0,0.0,0,75.0,9
461471404,ART & PRACTICE,CA,100.0,0.9997571642759548,11,True,100.0,70.0,0.0,0,80.0,10
942566167,Nora Eccles Treadwell Charitable Trust,UT,100.0,0.9995117626580168,16,False,100.0,70.0,0.0,0,66.66666666666666,11
680395555,THE MORGAN SISKIYOU FOUNDATION,WA,100.0,0.9996033006684076,13,False,100.0,70.0,0.0,0,83.33333333333334,12
770549288,THE ALLISON LEE CONDIT FOUNDATION,CA,100.0,0.9996535742214624,12,True,100.0,70.0,0.0,0,97.22222222222221,13
200721133,THE BANK OF AMERICA CHARITABLE,NC,100.0,1.0,1,False,100.0,70.0,0.0,0,11.132834780404336,14
463559307,PEONY FOUNDATION INC,CA,99.9,0.9993828425711492,19,True,99.9,69.9,0.0,0,100.0,15
262856544,MASSEN-GREENE CHARITABLE FUND,HI,99.9,0.999493023599384,17,False,99.9,69.9,0.0,0,100.0,16
942911210,ROTARY CLUB OF PETALUMA FOUNDATION,CA,99.9,0.999487145061363,18,True,99.9,69.9,0.0,0,100.0,17
946073636,MARINI FAMILY TRUST,NV,99.9,0.9990704386955416,24,False,99.9,69.9,0.0,0,100.0,18
