foundation_ein,foundation_name,foundation_state,amount,purpose_text,tax_year,source
132989476,NEW YORK LIFE FOUNDATION,NY,177000,EDUC. GENERAL,2018,database
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,100000,SUPPORT EXPANSION IN BRIDGEPORT AND DEVELOPMENT OF HORIZONS BRIDGEPORT WITH FUNDING FOR HIRING OF REGIONAL DIRECTOR AND SUPPORT STAFFING COSTS,2018,database
,Community Foundation of New Jersey,NJ,940000,General support (2023-24),2024,cause_iq
,Fidelity Investments Charitable Gift Fund,MA,287660,DAF grants (2023-24),2024,cause_iq
,National Philanthropic Trust,PA,219550,DAF grants (2023-24),2024,cause_iq
061514402,Richard D. Donchian Charitable Foundation,CT,,Self-reported - not in DB grants to Horizons,,questionnaire
061252486,Henry E. Niles Foundation Inc,CT,,Self-reported - not in DB grants to Horizons,,questionnaire
136092448,JC Kellogg Foundation Inc,NY,,Self-reported - PRESELECTED ONLY per 990-PF,,questionnaire
237966458,Hilda & Preston Davis Foundation,PA,15000,Gave to HORIZONS BRIDGEPORT (affiliate) in 2023,2023,questionnaire+db
206790446,Scoob Trust Foundation,MT,,Self-reported - not in DB grants to Horizons,,questionnaire
136107758,Horace W. Goldsmith Foundation,NY,,Self-reported - not in DB grants to Horizons,,questionnaire
