foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
NEW YORK LIFE FOUNDATION,NY,140917777,0,50000,2023,t
Amelia Peabody Foundation,MA,135682150,0,65000,2023,t
THE CIGNA GROUP FOUNDATION,PA,129315317,0,175,2023,t
THE WILLIAM & LIA G POORVU,MA,129065910,0,10000,2023,f
TEACH A MAN TO FISH FOUNDATION,CA,128584721,0,30000,2020,f
ROBERT W DEUTSCH FOUNDATION,MD,128072866,0,10000,2023,t
John R & Greli N Less Charitable Trust,TX,127297366,0,100000,2024,f
THE SHAPIRO FOUNDATION,MA,125082465,0,4000,2023,f
WASSERMAN FOUNDATION,CA,124839898,0,5000,2023,f
THE BAKER STREET FOUNDATION,CA,121138567,0,20000,2023,f
BAIRD FOUNDATION INC,WI,115318490,0,243,2023,f
THE CARL M FREEMAN FOUNDATION INC,DE,114137601,0,7500,2023,t
THE DREISESZUN FAMILY FOUNDATION,KS,111783931,0,10000,2020,t
THE KROGER CO FOUNDATION,OH,111434488,0,19271,2018,t
HEINZ FAMILY FOUNDATION,PA,110767257,0,5000,2022,f
KYLE J & SHARON KRAUSE FAMILY FOUNDATION,IA,110388804,0,1000,2019,f
THE JAKET FOUNDATION,MA,109895331,0,1000000,2023,f
HUNT STREET FUND INC,MA,106875773,0,20000,2023,f
HAZEL RUBY MCQUAIN CHARITABLE TRUST,WV,106443404,0,288355,2022,f
EQUITABLE FOUNDATION INC,NY,106085926,0,2000,2023,t
Pincus Family Foundation,DE,101772418,0,5000,2023,f
EDWARD JONES FOUNDATION,MO,101433790,0,112,2023,f
BLAVATNIK FAMILY FOUNDATION,NY,98929513,0,25000,2023,f
MORGAN STANLEY FOUNDATION INC,NY,96112177,0,2000,2019,f
THE MORRIS GOLDSEKER FOUNDATION,MD,92433166,0,20000,2023,t
SYNCHRONY FOUNDATION,CT,88394943,0,162,2020,f
THE R C DURR FOUNDATION INC,KY,83776120,0,2500,2019,t
Patrick G and Shirley W Ryan Foundation,IL,78384236,0,166250,2018,f
THE ALLSTATE FOUNDATION,IL,77865078,0,3000,2023,t
CHAMPIONS OF LOVE FOUNDATION INC,MA,77650672,0,25000,2023,f
BRAVO FAMILY CHARITABLE FOUNDATION,FL,75599449,0,15000,2022,t
GRACE JONES RICHARDSON TESTAMENTARY,NC,74555635,0,2000,2023,f
THE AARON & LILLIE STRAUS FDN INC 9830002,MD,74504380,0,20000,2023,t
CENTERPOINT ENERGY FOUNDATION INC,TX,74130417,0,300,2022,f
AMERICAN EXPRESS FOUNDATION,NY,71012960,0,100,2023,t
THE COLLIS FOUNDATION,RI,70805137,0,25000,2023,t
CLANEIL FOUNDATION INC,PA,70782031,0,3600,2020,t
BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,68802568,0,2139,2022,t
BELLA VISTA FOUNDATION,CA,68423844,0,15000,2022,t
John Edward Fowler Memorial Foundation,MD,67244173,0,15000,2023,t
HIGHLAND STREET CONNECTION,MA,66830483,0,25500,2023,f
SOROS FUND CHARITABLE FOUNDATION,NY,66509142,0,5275,2023,f
BAXTER INTERNATIONAL FOUNDATION,IL,66398025,0,400,2022,f
TEXAS INSTRUMENTS FOUNDATION,TX,65955596,0,38,2023,t
GORDON FAMILY FOUNDATION,MA,64984354,0,7500,2023,f
SMIDT FAMILY FOUNDATION,CA,64748862,0,50000,2019,f
WILSON SHEEHAN FOUNDATION,OH,63234860,0,1000,2020,t
THE AILEEN K AND BRIAN L ROBERTS,PA,62382838,0,18500,2023,f
THE 1434 FOUNDATION INC,MA,62240300,0,25000,2020,f
The Connor Group Foundation aka The,OH,62195571,0,14000,2019,f
THE BEVERIDGE FAMILY FOUNDATION,MA,60560634,0,2500,2018,t
The Scripps Howard Foundation,OH,59946932,0,1000,2023,t
THE REINBERGER FOUNDATION,OH,59759570,0,10000,2022,f
