rank,ein,foundation_name,city,total_giving,grant_count,median_grant,largest_grant,assets,accepts_applications,most_recent_year
112,823367723,The Changebox Foundation,Pleasanton,1745000,5,25000,1500000,191074,False,2023
113,943148772,The Eucalyptus Foundation,San Francisco,1736300,9,126300,500000,208500154,False,2022
114,862588636,The Lindley Foundation,San Francisco,1666666,2,833333,833333,120307,True,2023
115,832210302,Intuitive Foundation,Sunnyvale,1662411,34,32500,259511,88307916,True,2023
116,383667071,The Elizabeth R. and William J. Patterson Foundation,Ross,1650001,6,166667,850000,49594340,False,2023
117,941540333,Northern California Scholarship Foundation,Oakland,1616815,2,808408,809415,22693944,False,2023
118,941659373,Ishiyama Foundation,San Francisco,1615700,25,20000,300000,86071134,False,2023
119,832600550,Room to Breathe Project,San Francisco,1604230,9,50000,1000000,57863386,True,2023
120,946719570,Randall A. Wolf Family Foundation,Fremont,1567000,40,25000,250000,26518598,False,2023
121,770259860,The Richard and Jean Coyne Family Foundation,Belmont,1565000,51,25000,60000,2704911,True,2023
122,831599193,K5 Foundation,San Francisco,1520000,5,175000,1015000,42945817,False,2023
123,472072111,Kung Guerra Foundation,Los Altos,1510000,4,300000,660000,16394885,False,2023
124,471820379,Sunlight Giving,Palo Alto,1505000,23,50000,150000,471220977,False,2023
125,946064379,The Morris Stulsaft Foundation,San Francisco,1490000,54,25000,50000,37010,True,2023
126,201173866,Omidyar Network Fund,Redwood City,1466300,17,75000,190300,392593149,False,2023
127,946055879,The Christensen Fund,San Francisco,1430000,12,62500,500000,315696871,False,2023
128,832152945,Crabill Family Foundation,San Francisco,1412000,19,25000,600000,53676013,True,2023
129,680237238,Leo M Shortino Family Foundation,San Jose,1375000,34,26000,185000,62845642,True,2023
130,208066058,The Fat Tire Foundation,Los Altos,1346000,20,12500,333333,53382035,False,2023
131,680069874,Koshland Foundation,Menlo Park,1343333,8,167500,333333,9319687,False,2022
132,823648278,Next Gen Personal Finance,Palo Alto,1298137,40,500,144166,26825549,False,2023
133,946760317,Kalmanovitz Charitable Foundation,Mill Valley,1256800,5,257970,375000,9390033,False,2023
134,471835703,The Anne Wojcicki Foundation,Los Altos,1250000,4,250000,500000,503312374,False,2023
135,941196182,Bothin Foundation,San Francisco,1244300,37,35000,50000,42569751,True,2023
136,770386898,The Applied Materials Foundation,Santa Clara,1227107,5,193304,541226,27771521,True,2022
137,942819322,Danford Foundation,San Carlos,1205500,93,7000,100000,15634837,True,2023
138,823458443,Greenbridge Family Foundation,San Francisco,1198900,42,25000,100000,53729105,False,2023
139,942199617,Institute of Mental Chronometry,Walnut Creek,1192549,9,113049,173282,2412148,False,2023
140,832899018,128 Collective Foundation,Palo Alto,1191000,14,90500,200000,46158815,False,2023
141,263542627,Girlsmart Literacy Program,Orinda,1164425,8,126000,304425,270367,True,2023
142,823785197,Give Forward Foundation,San Francisco,1151565,10,114282,215000,24137914,False,2023
143,333255428,The Fremont Group Foundation,San Francisco,1136884,48,10000,343280,19051965,False,2023
144,680371471,Emerald Sky Foundation,Mill Valley,1124500,14,10000,1000000,1070192,False,2023
145,954560243,Foundation for Global Sports Development,San Francisco,1118000,56,10000,100000,6973203,True,2024
146,136894208,UD LD Mellam for Mellam Family Foundation,Redwood City,1117500,2,558750,563500,16595668,False,2023
147,731661679,Bernard E. and Alba Witkin Charitable Foundation,Berkeley,1100162,52,15000,110000,11965100,False,2023
148,912154616,Ronald and Ann Williams Charitable Foundation,San Francisco,1100000,10,75000,300000,87319604,False,2022
149,770449213,Davidow Family Foundation,Woodside,1100000,3,50000,1000000,6009895,False,2022
150,203830425,Buchheit Foundation,Palo Alto,1071500,1,1071500,1071500,3956467,False,2022
