ein,org_name,state,city,sector,website,employee_count,volunteer_count,total_revenue,total_expenses,contributions_grants,program_service_revenue,grant_dependency_pct,num_foundation_grants,num_unique_funders,total_foundation_grant_amount,icp_score,fundraising_likelihood_score,mission_statement,fiscal_year_end_month,program_revenue_pct,volunteer_to_employee_ratio
943111898,Coalition On Homelessness,CA,San Francisco,P,www.cohsf.org,10,5,1114608.00,1174910.00,874015.00,234272.00,78.41,28,12,301276.00,9,6,We work to organize homeless people and front-line service providers to create permanent solutions to homelessness while protecting the civil and human rights of those forced to remain on the streets.,12,21.0,0.50
911246282,HYDROPLANE AND RACEBOAT MUSEUM,WA,KENT,A,WWW.THUNDERBOATS.ORG,5,75,1026385.00,544494.00,784672.00,223998.00,76.45,1,1,1000.00,9,6,PRESERVATION OF THE HISTORY OF BOAT RACING AND THE EDUCATION OF THE PUBLIC.,12,21.8,15.00
814962168,END HOMELESSNESS CALIFORNIA,CA,LOS ANGELES,P,THESHOWEROFHOPE.ORG,105,50,4574971.00,4152262.00,4569603.00,0.00,99.88,2,2,700.00,9,6,TO BUILD CAPACITY AND COMMUNITY ENGAGEMENT TO BETTER SERVE THE MOST VULNERABLE POPULATION SUFFERING POVERTY AND THE HOMELESS CRISIS.,12,0.0,0.48
941393418,PAJARO VALLEY SHELTER SERVICES,CA,WATSONVILLE,P,www.pvshelter.org,11,140,1516064.00,1551431.00,1191063.00,268542.00,78.56,16,9,292000.00,9,6,Pajaro Valley Shelter Services provides families with a path toward self-sufficient futures through short-and longer-term housing and supportive services.,6,17.7,12.73
300086414,SHELBY COUNTY CHILDRENS ADVOCACY CENTER,TX,CENTER,P,N/A,10,104,664958.00,702011.00,611749.00,558.00,92.00,2,1,2000.00,9,6,PROMOTE THE EMOTIONAL AND PHYSICAL HEALING OF CHILD ABUSE VICTIMS,8,0.1,10.40
030275219,The John W Graham Emergency Shelter and Service Inc,VT,Vergennes,L,www.johngrahamshelter.org,20,100,2163112.00,1594797.00,1985189.00,0.00,91.77,2,2,5000.00,9,6,"To provide food, shelter and housing; services and support to help transform lives; and prevention and intervention for people in crisis.",12,0.0,5.00
953130408,CHILDREN OF THE NIGHT,CA,LOS ANGELES,P,WWW.CHILDRENOFTHENIGHT.ORG,23,100,2598142.00,2131077.00,2301508.00,0.00,88.58,94,56,2297772.00,9,6,CHILDREN OF THE NIGHT IS A PRIVATELY FUNDED NON-PROFIT ORGANIZATION ESTABLISHED IN 1979 TO PROVIDE INTERVENTION IN THE LIVES OF CHILDREN WHO ARE SEXUALLY EXPLOITED AND VULNERABLE TO OR INVOLVED IN PROSTITUTION AND PORNOGRAPHY.,12,0.0,4.35
020553368,Empowering Youth and Families Outreach,WA,Seattle,O,www.eyfo.org,40,,1962250.00,1792692.00,1948078.00,13948.00,99.28,1,1,1000.00,9,6,Empowering Youth and Families Outreach mission is to make a lifelong impact in the lives of youth by offering multifaceted programs that raise up resilient youth and empowers them to achieve their dreams.,12,0.7,
010401717,The Ark Animal Shelter,ME,Cherryfield,D,www.thearkpets.org,9,18,1802052.00,591538.00,1670371.00,24815.00,92.69,1,1,110000.00,9,6,"The Ark is committed to providing compassionate care and placement of homeless animals, alleviating overpopulation of companion animals by promoting low cost spay/neuter programs, and promoting and improving the welfare of all animals through community outreach and education.",12,1.4,2.00
943202727,STONEWALL YOUTH,WA,OLYMPIA,P,www.stonewallyouth.org,8,10,518526.00,468035.00,503626.00,14900.00,97.13,1,1,500.00,9,6,Stonewall Youth empowers LGBTQ2S+ youth to speak for themselves educate their communities support each other and work for social justice,12,2.9,1.25
582105570,BLACK MOUNTAIN COLLEGE MUSEUM AND,NC,ASHEVILLE,A,,5,,1822883.00,607614.00,1775928.00,0.00,97.42,1,1,60.00,9,6,EDUCATE THE GENERAL PUBLIC TO THE ARTS AT BLACK MOUNTAIN COLLEGE,12,0.0,
412275163,CHILDREN'S ADVOCACY CENTER OF,IN,DILLSBORO,O,HTTPS://CACSOUTHEAST.ORG/,9,18,1791353.00,864149.00,1646589.00,0.00,91.92,1,1,5000.00,9,6,"WE HELP CHILDREN WHO HAVE BEEN ABUSED, ASSAULTED, OR BEEN WITNESS TO A CRIME. THE CHILDREN'S ADVOCACY CENTER OF SOUTHEASTERN INDIANA IS A CHILD-FRIENDLY NONPROFIT CORPORATION CREATED TO MINIMIZE THE TRAUMA SUFFERED BY VICTIMS OF CHILD ABUSE",12,0.0,2.00
720408936,JEWISH CHILDREN'S REGIONAL SERVICE,LA,METAIRIE,P,WWW.JCRS.ORG,11,150,1874117.00,1794565.00,1405127.00,0.00,74.98,9,5,6761.00,8,6,SEE SCHEDULE O,7,0.0,13.64
411333578,YOUTH SERVICE BUREAU INC,MN,STILLWATER,P,WWW.YSB.NET,18,15,1456087.00,1280166.00,1215303.00,170100.00,83.46,14,6,497500.00,8,6,"YOUTH SERVICE BUREAU HELPS YOUTH AND FAMILIES LEARN THE SKILLS THEY NEED TO BE MORE SUCCESSFUL AT HOME, IN SCHOOL AND THROUGHOUT THE COMMUNITY.",12,11.7,0.83
043104858,HOMELESS PREVENTION COUNCIL INC,MA,ORLEANS,P,HPCCAPECOD.ORG,15,150,2195968.00,1706620.00,1906160.00,0.00,86.80,41,25,537551.00,8,6,PREVENT HOMELESSNESS ON LOWER CAPE COD,6,0.0,10.00
861102751,MISSION INTERNATIONAL RESCUE,FL,WEST PALM BEACH,Q,WWW.MIRCHARITIES.ORG,0,8,1606090.00,332820.00,1579453.00,0.00,98.34,3,3,75620.00,8,6,THE ORGANIZATION'S MISSION IS TO ASSIST CHILDREN AND FAMILIES ESCAPE POVERTY BY IDENTIFYING AND ADDRESSING THEIR NEEDS THROUGH EDUCATIONAL SERVICES AND COLLABORATIVE PROGRAMS.,12,0.0,
010504257,MAINE MUSEUM OF INNOVATION LEARNING AND,ME,LEWISTON,A,WWW.MAINEMILL.ORG,3,23,1553263.00,298581.00,1432007.00,9341.00,92.19,1,1,15000.00,8,6,MAINE MILL'S MISSION IS TO CELEBRATE THE TOLD AND UNTOLD STORIES OF WORKERS TO FOSTER COMMUNITY CONNECTIONS AND INSPIRE FUTURE CREATIVITY AND INGENUITY. THE MUSEUM'S VISION IS TO BE A CULTURAL HUB THAT FUELS THE DREAMS OF TOMORROW.,12,0.6,7.67
043095890,ROSENBERG FUND FOR CHILDREN INC,MA,EASTHAMPTON,P,WWW.RFC.ORG,6,8,1074337.00,798637.00,734300.00,2140.00,68.35,15,9,72900.00,8,6,"SEE SCHEDULE O.THE ROSENBERG FUND FOR CHILDREN WAS ESTABLISHED TO PROVIDE FOR THE EDUCATIONAL AND EMOTIONAL NEEDS OF CHILDREN WHOSE PARENTS HAVE BEEN HARASSED, INJURED, LOST JOBS, OR DIED IN THE COURSE OF THEIR PROGRESSIVE ACTIVITIES AND WHO, THEREFORE, ARE NO LONGER ABLE TO PROVIDE FULLY FOR THEIR CHILDREN. THE ORGANIZATION ALSO PROVIDES GRANTS FOR THE EDUCATIONAL AND EMOTIONAL NEEDS OF TARGETED ACTIVIST YOUTH. PROFESSIONALS AND INSTITUTIONS WILL BE AWARDED GRANTS TO PROVIDE SERVICES.",12,0.2,1.33
133861648,COMPREHENSIVE YOUTH DEVELOPMENT INC,NY,NEW YORK,P,WWW.COMPREHENSIVEYOUTHDEVELOPMENT.ORG,48,32,3396263.00,3912499.00,3270799.00,0.00,96.31,27,18,1745856.00,8,6,"COMPREHENSIVE YOUTH DEVELOPMENT, INC. PARTNERS WITH NYC PUBLIC HIGH SCHOOLS TO PREPARE YOUNG ADULTS, AGES 14-24, TO SECURE A SUCCESSFUL FUTURE FOR THEMSELVES AND THEIR FAMILIES. THROUGH THIS PARTNERSHIP, OUR STUDENTS DEVELOP THE CAPABILITY TO GRADUATE FROM HIGH SCHOOL AND MAKE INFORMED DECISIONS ON HIGHER EDUCATION AND CAREERS. FOUNDED IN 1995, CYD ANNUALLY SERVES STUDENTS AND ALUMNI, MOST OF WHOM ARE UNDER-CREDITED FOR THEIR AGE, ENGLISH LANGUAGE LEARNERS, AND/OR DEALING WITH SIGNIFICANT SOCIAL ISSUES SUCH AS HOUSING INSTABILITY, PARENTHOODOR MEDICAL HEALTH ISSUES.",9,0.0,0.67
581847103,BETHESDA CENTER FOR THE HOMELESS,NC,WINSTONSALEM,P,WWW.BETHESDACENTER.ORG,47,75,1023593.00,1138922.00,1023448.00,0.00,99.99,13,8,481802.00,8,6,THE MISSION OF THE BETHESDA CENTER IS TO IMPROVE THE LIVES OF HOMELESS INDIVIDUALS BY PROVIDING SHELTER AND SUPPORTIVE SERVICES LEADING TO INDEPENDENT LIVES.,6,0.0,1.60
134166295,Better Youth Inc,CA,Los Angeles,O,www.betteryouth.org,20,,714225.00,619179.00,713927.00,0.00,99.96,2,2,95000.00,8,6,The mission of Better Youth Inc is to validate and develop creative confidence in foster and community youth ages 14-24 through mentoring and media arts training.,12,0.0,
201581289,FRIENDS OF THE CHILDREN - BOSTON INC,MA,BOSTON,P,WWW.FRIENDSBOSTON.ORG,31,83,3182226.00,2994153.00,3242316.00,0.00,101.89,47,23,1429300.00,8,6,"IMPACTING GENERATIONAL CHANGE BY EMPOWERING YOUTH WHO ARE FACING THE GREATEST OBSTACLES THROUGH RELATIONSHIPS WITH PROFESSIONAL MENTORS - 12+ YEARS, NO MATTER WHAT.",8,0.0,2.68
205254885,VAIL VETERANS FOUNDATION INC,CO,VAIL,P,WWW.VAILVETERANSPROGRAM.ORG,7,0,1682696.00,1605903.00,1479092.00,0.00,87.90,9,6,31200.00,8,6,VAIL VETERANS FOUNDATION PROVIDES MILITARY INJURED AND THEIR FAMILIES INNOVATIVE AND TRANSFORMATIONAL PROGRAMS THAT BUILD CONFIDENCE AND IMPROVE LIVES.,12,0.0,
221695034,ADVOCATES FOR CHILDREN OF NEW JERSEY,NJ,NEWARK,P,WWW.ACNJ.ORG,30,2,2236476.00,2726074.00,1692058.00,9597.00,75.66,37,14,3007550.00,8,6,"TO IDENTIFY CHILDREN'S NEEDS THROUGH RESEARCH, POLICY AND LEGAL ANALYSIS, TO RAISE AWARENESS OF THOSE NEEDS THROUGH STRATEGIC COMMUNICATIONS, AND TO WORK WITH ELECTED OFFICIALS AND OTHER DECISION-MAKERS TO ENACT EFFECTIVE RESPONSES.",12,0.4,0.07
222228083,PRINCETON SENIOR RESOURCE CENTER,NJ,PRINCETON,P,WWW.PRINCETONSENIOR.ORG,17,348,1461346.00,1857657.00,922541.00,197671.00,63.13,38,18,1284365.00,8,6,"PSRC IS THE GO-TO RESOURCE WHERE AGING ADULTS AND THEIR FAMILIES FIND SUPPORT, GUIDANCE, EDUCATIONAL AND SOCIAL PROGRAMS TO HELP NAVIGATE LIFE TRANSITIONS AND CONTINUE TO BE ACTIVE, HEALTY AND ENGAGED IN THE COMMUNITY.",6,13.5,20.47
237291187,Hollywood Senior Center,OR,Portland,P,https://www.communityfpa.org/,30,150,2147222.00,2464873.00,2028060.00,36988.00,94.45,14,6,186300.00,8,6,"THE CENTER FOCUSES ON OFFERING A DIVERSE RANGE OF SERVICES WITH THE SINGULAR FOCUS OF EMPOWERING OLDER ADULTS TO LIVE THEIR LIVES WITH INDEPENDENCE, AND A SENSE OF FULFILLMENT. THE CENTER IS COMMITTED TO PROVIDING SERVICES, INFORMATION, EDUCATION AND RECREATION FOR SENIORS, FAMILIES AND CAREGIVERS IN MULTNOMAH COUNTY.THE CENTER EVOLVES IN RESPONSE TO A GROWING SENIOR POPULATION WITH EXPANDING AND CHANGING NEEDS. WE ENVISION A CARING AND HEALTHY COMMUNITY WHICH ENCOURAGES INTERGENERATIONAL RELATIONSHIPS, RECOGNIZES THE WISDOM AND EXPERIENCE OF ITS ELDERS AND DEMONSTRATES AWARENESS AND RESPECT FOR THE AGING PROCESS. THE CENTER IS COMMITTED TO ADDRESSING THE SOCIAL, CULTURAL, ENVIRONMENTAL AND ECONOMIC NEEDS THAT CREATE BARRIERS THAT IMPACT THE WELLNESS OF OLDER ADULTS.",6,1.7,5.00
261202256,CHILDRENS MUSEUM OF ROCK COUNTY INC,WI,JANESVILLE,A,HTTPS://KIDSATPLAYRC.COM/,0,25,2961455.00,99978.00,2941645.00,0.00,99.33,1,1,500.00,8,6,"CMRC IS DEDICATED TO HELPING FAMILIES GROW THROUGH PLAY AND CREATE A PLACE WHERE CHILDREN, FAMILIES AND COMMUNITY ARE ENCOURAGED TO EXPERIENCE THE JOY OF LEARNING THROUGH PLAY, AT THE CHILDRENS MUSEUM OF ROCK COUNTY AND BEYOND.",12,0.0,
263933990,CONCORD COALITION TO END HOMELESSNESS,NH,CONCORD,P,CONCORDHOMELESS.ORG,30,125,1247071.00,1969040.00,1174257.00,0.00,94.16,17,7,163670.00,8,6,"CONCORD COALITION TO END HOMELESSNESS (CCEH) WORKS TO ELIMINATE THE CAUSES OF HOMELESSNESS IN THE GREATER CONCORD, NH COMMUNITY BY COLLABORATING AMONG HOMELESS SERVICE PROVIDERS.",6,0.0,4.17
270647770,ANIMAL COMPASSION TEAM OF CALIFORNIA,CA,FRESNO,D,WWW.ANIMALCOMPASSIONTEAM.COM,6,75,800017.00,560177.00,593763.00,120891.00,74.22,1,1,3200.00,8,6,SEE SCHEDULE O,12,15.1,12.50
310536684,THE CHILDREN'S PROTECTIVE SERVICE OF THE,OH,CINCINNATI,D,WWW.FAMILIESFORWARD.NET,80,300,1652224.00,1707122.00,1631412.00,0.00,98.74,2,2,35010.00,8,6,"OUR MISSION IS TO HELP CHILDREN DEVELOP THE ATTITUDES AND BEHAVIORS NECESSARY TO BECOME PRODUCTIVE, INDEPENDENT AND RESPONSIBLE CITIZENS THROUGH A SCHOOL-BASED, FAMILY CENTERED PROGRAM.",12,0.0,3.75
311254976,HOPE HOUSE RESCUE MISSION INC,OH,MIDDLETOWN,P,WWW.HHMISSION.ORG,29,553,1286211.00,1619321.00,1157463.00,33000.00,89.99,10,6,89543.00,8,6,"HOPE HOUSE RESCUE MISSION STRIVES TO ELIMINATE HOMELESSNESS. OUR MISSION IS ""TO BREAK THE CYCLE OF POVERTY AND DESPAIR... ONE LIFE AT A TIME."" WE PROVIDE PHYSICAL, EMOTIONAL, MENTAL AND SPIRITUAL RESOURCES REGARDLESS OF RACE, RELIGION OR SOCIAL STATUS.",9,2.6,19.07
362931208,INTROSPECT YOUTH SERVICES INC,IL,Chicago,O,,0,0,2135524.00,1561054.00,2135524.00,0.00,100.00,1,1,49952.00,8,6,"Engage youth in activities, events and programs that are designed to promote their positive growth. Encourage youth to develop into empowered and enlightened adults, who can fully participate as World citizens.",12,0.0,
412011846,ROBIN'S NEST CHILDREN'S HOME,MN,LAKE ELMO,P,WWW.ROBINSNESTCHILDRENSHOME.ORG,0,0,658477.00,580466.00,652374.00,0.00,99.07,0,0,0,8,6,"WE PRAY THAT ROBIN'S NEST CHILDREN'S HOME WILL PROVIDE A NURTURING, LOVING, SAFE, CHRIST-CENTERED ATMOSPHERE IN WHICH ALL CHILDREN WILL GROW AT THEIR OWN SPEED - PHYSICALLY, MENTALLY, AND SPIRITUALLY - SO THEY MAY DEVELOP THEIR OWN INDIVIDUAL GIFTS, TALENTS AND ABILITIES AND BECOME THE PERSON WHO GOD INTENDED.",12,0.0,
421668484,Briscoe Animal Resource Center of Uvalde,TX,Uvalde,D,www.barcuvalde.com,4,75,1884029.00,295415.00,1827592.00,0.00,97.00,1,1,10000.00,8,6,To perform benevolent work and activities to manage pet overpopulation and encourage responsible pet ownership,6,0.0,18.75
452149057,HOMES FOR VETERANS,NJ,HARRINGTON PARK,L,HOMESFORVETERANS.US,2,60,1443964.00,1382154.00,1418897.00,0.00,98.26,2,2,5050.00,8,6,"OUR MISSION IS TO PROVIDE A HOLISTIC APPROACH TO SUPPORT VETERANS WITH DISABILITIES BY REMOVING BARRIERS IN EVERY ASPECT OF THEIR LIVES. THIS INCLUDES FUNDING CUSTOMIZED, BARRIER-FREE HOME MODIFICATIONSSUCH AS WHEELCHAIR-ACCESSIBLE BATHROOMS, ADA-COMPLIANT KITCHENS, WIDENED DOORWAYS, RAMPS, STAIR-LIFTS, AND ELEVATORSTAILORED TO MEET THE UNIQUE NEEDS OF EACH VETERAN. WE GUIDE VETERANS THROUGH COMPLEX PROCESSES TO SECURE BENEFITS, CONNECT THEM TO VITAL RESOURCES, AND ADVOCATE ON THEIR BEHALF. WE ARE COMMITTED TO RAISING PUBLIC AWARENESS OF THE HARDSHIPS VETERANS FACE TO INSPIRE NATIONWIDE SUPPORT, ENABLING THEM TO LIVE INDEPENDENT AND DIGNIFIED LIVES.",9,0.0,30.00
455372693,DHARMA VOICES FOR ANIMALS,CA,SOLANA BEACH,D,WWW.DHARMAVOICESFORANIMALS.ORG,5,0,513877.00,331258.00,508265.00,0.00,98.91,1,1,2500.00,8,6,THE ORGANIZATION IS ONLY INTERNATIONAL BUDDHIST ANIMAL RIGHTS ADVOCACY ORGANIZATION IN THE WORLD. WE EDUCATE AND ADVOCATE FOR VEGETARIAN DIETS.,12,0.0,
464254871,AFRICA FAMILY RESCUE,TX,WICHITA FALLS,P,www.africafamilyrescue.org,2,12,728469.00,745961.00,728469.00,0.00,100.00,1,1,200.00,8,6,"AFRICA FAMILY RESCUE IS A NON-PROFIT FAITH BASED ORGANIZATION DESIGNED TO RESTORE HOPE AND DIGNITY TO FAMILIES, COMMUNITIES AND CHURCHES AFFECTED BY EXTREME POVERTY IN AFRICA. AFRICA FAMILY RESCUE HAS 3 TRANSFORMATIONAL GOALS FOR EACH PROJECT: 1. FAMILY TRANSFORMATION THROUGH A 3 YEAR FAMILY SPONSORSHIP PROGRAM WITH A STRONG FOCUS ON HEALTH, EDUCATION, HOUSING A MICRO BUSINESS DEVELOPMENT FOR SELF-SUFFICIENCY. 2. COMMUNITY TRANSFORMATION THROUGH VARIOUS PROJECTS INCLUDING WATER WELL RENEWAL, SCHOOL AND MEDICAL INTERVENTION AND LIVESTOCK DISTRIBUTION. 3. CHURCH TRANSFORMATION THROUGH MISSION TRIPS AND PARTNERSHIPS IN LOCAL AFRICAN CHURCHES AND THEIR SURROUNDING COMMUNITIES.",12,0.0,6.00
471528452,THRIVE YOUTH CENTER INC,TX,SAN ANTONIO,P,WWW.THRIVEYOUTHCENTER.ORG,30,75,2007010.00,1808771.00,2012008.00,0.00,100.25,12,9,60285.00,8,6,"OUR MISSION IS TO PROVIDE A SAFE AND SUPPORTIVE CENTER FOR HOMELESS LGBTQ YOUTH SO THEY MAY BECOME PRODUCTIVE, SKILLED, EDUCATED, AND SUCCESSFUL ADULTS WITH THE ABILITY, OPPORTUNITY, AND POSSIBILITY OF ACHIEVING THEIR DREAMS.",8,0.0,2.50
472733144,CASCADIA ART MUSEUM,WA,EDMONDS,P,CASCADIAARTMUSEUM.ORG,9,80,1098939.00,1169733.00,637210.00,244272.00,57.98,21,14,344402.00,8,6,"Cascadia Art Museum is an educational nonprofit 501(c)3 organization celebrating the rich tradition of the visual arts in the Northwest region, as shaped by the Cascade Mountains. The museum provides enriching experiences for community and visitors through temporary exhibitions, public programs, and educational outreach. Cascadia illuminates the cultural and social threads that empowered and influenced Northwest art and artists from the time of our Native American heritage to first Northwest settler communities, to the period of the Seattle Worlds Fair, and the links created in our own time.",12,22.2,8.89
541780226,NATIONAL FOUNDATION TO END SENIOR HUNGER INC,VA,ALEXANDRIA,P,WWW.NFESH.ORG,0,7,932763.00,663260.00,902388.00,2268.00,96.74,1,1,8500.00,8,6,"NFESH BELIEVES THAT THE ISSUE OF SENIOR HUNGER DOES NOT GET THE ATTENTION THAT IT DESERVES. WE ALSO BELIEVE THAT WORKING TOGETHER WITH OTHERS, WE CAN REDUCE SENIOR HUNGER AND THAT IT IS OUR RESPONSIBILITY TO LEAD THAT CHANGE.",12,0.2,
580976478,CALVARY CHILDREN'S HOME,GA,POWDER SPRINGS,P,WWW.CALVARYKIDS.ORG,22,717,2711747.00,1856219.00,2351022.00,0.00,86.70,9,6,31897.00,8,6,"CALVARY CHILDREN'S HOME PROVIDES A SAFE LOVING CHRISTIAN ENVIRONMENT FOR CHILDREN NEEDING PLACEMENT APART FROM THEIR FAMILIES WHERE EACH CHILD IS GIVEN THE OPPORTUNITY TO REACH THEIR FULL POTENTIAL IN THEIR PERSONAL, EMOTIONAL, AND SPIRITUAL LIFE.",9,0.0,32.59
592605356,FLORIDA KEYS CHILDRENS SHELTER INC,FL,TAVERNIER,P,FKCS.ORG,48,0,2925179.00,2861556.00,2907261.00,0.00,99.39,11,8,137250.00,8,6,PROVIDE SHELTER FOR CHILDREN.,6,0.0,
593330495,BIG CAT RESCUE CORP,FL,ODESSA,P,WWW.BIGCATRESCUE.ORG,11,35,3287280.00,3399445.00,1767794.00,0.00,53.78,73,38,288947.00,8,6,"BIG CAT RESCUES MISSION IS TO PROVIDE THE BEST HOME WE CAN FOR THE CATS IN OUR CARE, END ABUSE OF BIG CATS IN CAPTIVITY AND PREVENT EXTINCTION OF BIG CATS IN THE WILD.",12,0.0,3.18
593591574,Animal Network Inc,FL,Holmes Beach,D,http://animalnetworkinc.com,0,0,1255218.00,785864.00,1247621.00,0.00,99.39,2,1,520.00,8,6,"Helping people, helping animals.",12,0.0,
611834614,PAS DE CHEVAL HORSE RESCUE,NM,CERRILLOS,D,WWW.PASDECHEVAL.ORG,3,2,1686877.00,157662.00,1686877.00,0.00,100.00,1,1,12000.00,8,6,"PROTECTING NEW MEXICO'S RACEHORSES FROM SLAUGHTER, BY PROVIDING REHABILITATION, RETRAINING, AND REHOMING SERVICES.",12,0.0,0.67
650279086,Habitat for Humanity of the Middle Keys Inc,FL,Marathon,L,www.habitatmiddlekeys.org,3,458,1802822.00,789264.00,1316085.00,449048.00,73.00,0,0,0,8,6,"Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities and hope to realize our vision of a world where everyone has a decent place to live. Habitat for Humanity of the Middle keys adheres to a strict non-proselytizing policy and will not offer assistance on the express or implied condition that people must adhere to",12,24.9,152.67
742970407,Voices for Children Inc,TX,Bryan,P,www.vfcbrazos.org,21,202,1183685.00,977704.00,1164196.00,0.00,98.35,25,16,146350.00,8,6,"Serves as an advocate for abused and neglected children under court jurisdiction, through the development, growth, and support of a local Court Appointed Special Advocates program in Brazos County, Texas.",8,0.0,9.62
751242736,SENIOR CITIZEN SERVICES OF NORTH TEXAS,TX,WICHITA FALLS,P,SCSNT.ORG,19,472,1885121.00,2277354.00,1587945.00,396125.00,84.24,10,5,380000.00,8,6,THE MISSION IS TO SERVE THE WICHITA COUNTY AREA BY MEETING NUTRITIONAL REQUIREMENTS WHILE PROVIDING COMPLEMENTARY SERVICES AND CONNECTIONS TO THOSE IN NEED.,9,21.0,24.84
821416502,SOS CHILDRENS VILLAGES PAKISTAN WASHINGTON INC,MD,BETHESDA,P,WWW.SOSPAKISTANDC.COM,0,11,746500.00,710443.00,746500.00,0.00,100.00,0,0,0,8,6,"SOS CHILDRENS VILLAGES OF PAKISTAN WASHINGTON DC SUPPORTS THE PLACEMENT OF CHILDREN DEPRIVED OF THEIR NATURAL PARENTS IN AN ENVIRONMENT WHICH IS AS CLOSE AS POSSIBLE TO A NATURAL HOME. THE ORPHANED CHILDREN ARE PROVIDED SECURITY, EDUCATION, MEDICAL CARE, AND JOB TRAINING.",12,0.0,
822381526,NATIONAL MUSEUM OF GOSPEL MUSIC,IL,Chicago,A,www.nationalmuseumofgospelmusic.org,3,20,2174544.00,108673.00,2174544.00,0.00,100.00,2,2,11497.00,8,6,"The National Museum of Gospel Music will inspire people of all ages to learn more about gospel music and its contributions to the foundation of American music culture through its exhibitions and programs. The National Museum of Gospel Music will be known for its commitment to understanding the richness of gospel music as reflected in our past, present, and future by providing learning experiences for children and adults. The role gospel music has played in the fight for freedom as well as an ambassador of goodwill around the world. The museum will seek to cross ethnic groups to present the historical importance of this musical genre as the Peoples' Music of faith, hopes, and dreams.",12,0.0,6.67
830214230,Natrona County Meals on Wheels Inc,WY,Casper,P,www.mealswheels.com,25,423,2704410.00,2888315.00,1992158.00,596884.00,73.66,15,10,220181.00,8,6,To prepare and deliver meals to the elderly and/or homebound in Natrona County.,9,22.1,16.92
840712993,YOUTHZONE INC,CO,GLENWOOD SPRINGS,P,WWW.YOUTHZONE.COM,19,,1829896.00,2155727.00,1776863.00,47210.00,97.10,12,6,263000.00,8,6,"PROVIDING OPPORTUNITIES FOR ALL YOUTH TO BE RESPONSIBLE, CONTRIBUTING MEMBERS OF SOCIETY AND WORKING WITH THEIR FAMILIES AND THE COMMUNITY TOWARD THIS END THROUGH PREVENTION, ADVOCACY AND DIRECT CHARITABLE AND EDUCATIONAL PURPOSES.",6,2.6,
841593859,EAGLE RIVER YOUTH COALITION INC,CO,EDWARDS,O,WWW.MOUNTAINYOUTH.ORG,55,100,2611167.00,1378920.00,2576681.00,0.00,98.68,2,2,1900.00,8,6,TO CONTINUOUSLY AND COLLABORATIVELY IMPROVE THE LIVES OF YOUTH IN THE MOST POWERFUL WAYS POSSIBLE.,12,0.0,1.82
842002733,THE PAWERFUL RESCUE,TX,ROCKWALL,P,WWW.THEPAWERFULRESCUE.COM,0,3,521779.00,370011.00,521779.00,0.00,100.00,2,2,25300.00,8,6,OUR MISSION IS TO RESCUE AND REHABILITATE ANIMALS IN THE COMMUNITY IN ORDER TO HELP THEM FIND HOMES.,12,0.0,
822561632,Museum of Art & Photography Foundation Inc,MA,Boston,A,N/A,0,0,2819778.00,167927.00,2789955.00,0.00,98.94,1,1,75000.00,8,6,To promote cultural collaboration between the United States and India in the areas of Indian art & culture and to engage in related education and research,12,0.0,
233026275,UPLIFT CENTER FOR GRIEVING CHILDREN,PA,PHILADELPHIA,P,UPLIFTPHILLY.ORG,24,23,1544351.00,1902831.00,1594277.00,9250.00,103.23,18,12,137012.00,8,6,"HELP CHILDREN GRIEVING A DEATH TO HEAL AND GROW THROUGH THEIR GRIEF WHILE STRENGTHENING FAMILIES, COMMUNITIES AND PROFESSIONALS' UNDERSTANDING OF HOW BEST TO RESPOND TO THEIR NEEDS.",6,0.6,0.96
237357997,RIVERDALE SENIOR SERVICES INC,NY,BRONX,P,WWW.RSSNY.ORG,26,45,2067058.00,2105183.00,1994030.00,33142.00,96.47,9,7,41650.00,8,6,"RIVERDALE SENIOR SERVICES, INC. (RSS, INC.) IS A MULTI-PURPOSE NON-PROFIT AGENCY WHOSE MISSION IS TO PROMOTE THE PHYSICAL, INTELLECTUAL, SOCIAL AND EMOTIONAL WELL-BEING OF OLDER ADULTS IN THE NORTHWEST BRONX. RSS, INC.'S PROGRAMS ARE DESIGNED TO ENCOURAGE AND ENABLE OLDER ADULTS TO CONTINUE LIVING INDEPENDENTLY, WITH DIGNITY, WITH THEIR FAMILIES AND IN THEIR OWN HOMES.",6,1.6,1.73
990385140,RANFURLY HOMES FOR CHILDREN INC,FL,PARKLAND,P,RANFURLYHOME.ORG,0,0,829993.00,840649.00,829993.00,0.00,100.00,2,2,46772.00,8,6,"TO PROVIDE COMPREHENSIVE CHILD CARE SERVICES FOR DISPLACED CHILDREN DUE TO DEATH, SEPARATION, ABUSE, ABANDONMENT, ILLNESS, OR OTHER UNFORTUNATE CIRCUMSTANCES.TO ENSURE THAT WHILE THEY ARE IN OUR CARE THEY ARE AFFORDED THEIR RIGHTS AS OUTLINED IN OUR STATEMENT OF RIGHTS OF A CHILD. IN ADDITION, OUR CHILDREN FEEL COMFORTABLE AND THAT THEY DEVELOP A SENSE OF SELF-WORTH.TO OFFER OUR CHILDREN A PLACE WHERE THEY CAN FEEL SAFE AND SECURE, BUT MOREOVER, TO PROVIDE A PLACE THAT THEY CAN CALL A HOME.",12,0.0,
