ein,org_name,state,sector,ntee_code,total_revenue,employee_count,website,mission_statement,icp_score,revenue_band,emp_band
843718571,KAHULI LEO LEA,HI,A,A68,1340722.00,5,WWW.KAHULILEOLEA.ORG,"KAHULI LEO LE'A IS A 501(C)(3) HAWAI'I NON-PROFIT ORGANIZATION AIMED AT CATALYZING ALOHA 'AINA THROUGH THE EDUCATION, COMPOSITION, AND PRESENTATION OF MELE AND OTHER CULTURAL PRACTICES.",9,$1M-$2M,1-5
770014788,CITY LIGHTS THEATER CO OF SAN JOSE INC,CA,A,A650,1049296.00,43,HTTP://CLTC.ORG,"CITY LIGHTS THEATER COMPANY CREATES PROVOCATIVE LIVE PRODUCTIONS THAT ENGAGE, INSPIRE, AND CHALLENGE AUDIENCES AND ARTISTS ALIKE THROUGH INNOVATIVE CONCEPTS, INTIMATE STAGING, AND UNCOMPROMISING STORYTELLING.",7,$1M-$2M,16-50
900905305,NORTH COUNTRY CHILDREN'S MUSEUM,NY,A,A52,1947482.00,17,WWW.NORTHCOUNTRYCHILRENSMUSEUM.COM,"THE MISSION OF THE MUSEUM IS TO PROVIDE A CULTURAL AND EDUCATIONAL CENTER FOR FAMILIES TO PLAY AND LEARN TOGETHER BY PROMOTING CHILDREN'S CREATIVITY, FOSTERING INQUIRY AND SUPPORT LEARNING THROUGH ACTIVE HANDS-ON EXHIBITS, WORKSHOPS AND PROGRAMS. THE MUSEUM ALSO HIGHLIGHTS THE CULTURAL AND GEOGRAPHICAL RESOURCES OF THE NORTH COUNTRY THROUGH PARTNERSHIPS WITH LOCAL UNIVERSITIES AND BUSINESSES.",7,$1M-$2M,16-50
942427733,SANTA CRUZ MUSEUM OF NATURAL,CA,A,A560,1876063.00,23,WWW.SANTACRUZMUSEUM.ORG,CONNECTING PEOPLE WITH NATURE AND SCIENCE TO INSPIRE STEWARDSHIP OF THE NATURAL WORLD.,7,$1M-$2M,16-50
341300583,RENAISSANCE PERFORMING ARTS ASSOCIATION,OH,A,A65Z,1710753.00,163,WWW.RENTICKETS.ORG,"TO FORGE GREATER HUMAN CONNECTION AND UNDERSTANDING THROUGH PERFORMING ARTS EXPERIENCES THAT ENGAGE, EDUCATE, AND INSPIRE THE COMMUNITY",8,$1M-$2M,50+
952493144,SAN LUIS OBISPO SYMPHONY INC,CA,A,A69,1023394.00,92,WWW.SLOSYMPHONY.ORG,"THE PURPOSE OF THE SAN LUIS OBISPO SYMPHONY IS TO SUPPORT AN OUTSTANDING COMMUNITY ORCHESTRA, TO FOSTER SYMPHONIC AND CHAMBER MUSIC EDUCATION, AND TO CONTRIBUTE TO THE CULTURAL AND ECONOMIC VITALITY OF THE CENTRAL COAST COMMUNITY.",9,$1M-$2M,50+
352141464,LAKE STATES DAIRY CENTER INC,IN,A,A50,3437407.00,53,WWW.FAIROAKSDAIRYADVENTURE.COM,"THE ORGANIZATION EXISTS TO IMPLEMENT A DAIRY PROMOTION, RESEARCH AND EDUCATION PROGRAM IN INDIANA. THE CENTER CHARGES A NOMINAL FEE TO THE PUBLIC AND INCLUDES EDUCATION DISPLAYS AND BUS TOURS THROUGH AN OPERATING DAIRY.",8,$2M-$3.5M,50+
237179176,HISTORY SAN JOSE,CA,A,A540,1986526.00,7,WWW.HISTORYSANJOSE.ORG,"HISTORY SAN JOSE PRESERVES AND ENRICHES THE CULTURAL HERITAGE OF SAN JOSE AND THE SANTA CLARA VALLEY THROUGH RESEARCH, COLLECTIONS, PARTNERSHIPS, EDUCATIONAL PROGRAMS AND EVENTS.",7,$1M-$2M,6-15
232882835,DREAMWRIGHTS YOUTH AND FAMILY THEATRE,PA,A,A650,517831.00,11,WWW.DREAMWRIGHTS.ORG,"DREAMWRIGHTS IS AN INTERGENERATIONAL COMMUNITY THAT BUILDS CHARACTER THROUGH CREATIVE LEARNING EXPERIENCES IN PERFORMANCE, VISUAL AND THEATRE ARTS. *INCLUSIVE AND ACCEPTING*LIFELONG LEARNING*LEADERSHIP AND MENTORSHIP*RESPECT AND RESPONSIBILITY*CREATIVITY*INTEGENERATIONAL",7,$500K-$1M,6-15
521014217,THE NATIONAL THEATRE FOUNDATION,DC,A,A610,1460650.00,15,WWW.NATIONALTHEATRE.ORG,"THE NATIONAL THEATRE FOUNDATION OVERSEES AND PRESERVES ONE OF AMERICA'S MOST ICONIC THEATRES TOWARD AN INNOVATIVE AND INCLUSIVE FUTURE. WHILE SERVING AS THE PRIMARY HOME FOR BROADWAY IN OUR NATION'S CAPITAL, THE FOUNDATION ALSO PRESENTS COMPELLING EDUCATIONAL AND COMMUNITY PROGRAMS, MAINTAINS AND PRESERVES THE THEATRE'S HISTORIC ARCHIVE, AND IS RESPONSIBLE FOR FACILITY IMPROVEMENTS AND SERVICES.",7,$1M-$2M,6-15
