rank,foundation_ein,foundation_name,foundation_state,assets,open_to_apps,geo_eligible,target_grants,gold_standard,total_grants,total_giving,median_grant,siblings_funded,last_grant_yr,last_target_yr,tier
78,546074938,RAY SCHOENBAUM MEMORIAL FUND,VA,0,f,f,0,0,2,21000,10500,1,2020,,E - Neither
80,306407520,GEORGE AND WENDY DAVID FUND,CT,3540849,f,f,0,0,4,20000,5000,1,2022,,E - Neither
80,753126055,LESLIE L ALEXANDER FOUNDATION INC,FL,317996694,f,t,0,0,1,20000,20000,1,2023,,D - Geo only
80,596964359,JAMES M SCHOONMAKER II FOUNDATION,IL,163359868,f,t,0,0,3,20000,5000,1,2023,,D - Geo only
80,384039936,EDWARD B AND JOAN T KNIGHT FOUNDATI,FL,50789971,t,f,0,0,4,20000,5000,1,2024,,D - Open only
80,363994549,RHODA & HENRY FRANK FAMILY FOUNDATION,NC,1040742,t,f,0,0,4,20000,5000,1,2023,,D - Open only
80,800015106,ROB & ANN MCKEE FAMILY FOUNDATION,TX,4279514,f,f,0,0,2,20000,10000,1,2018,,E - Neither
86,136066583,SHELL USA COMPANY FOUNDATION,TX,33040486,f,t,0,0,9,19800,2000,1,2022,,D - Geo only
87,256067616,GLENN & RUTH MENGLE FOUND TRUST XXX-XX-XXXX,PA,13414913,t,f,0,0,3,18100,5500,1,2023,,D - Open only
88,205688587,PINON FOUNDATION,TX,14692035,f,f,0,0,1,17804,17804,1,2019,,E - Neither
89,546046229,THE DALIS FOUNDATION,FL,8479889,f,t,0,0,2,17500,8750,1,2019,,D - Geo only
90,363165216,KATTEN MUCHIN ROSENMAN FOUNDATION INC,IL,1057199,f,t,0,0,4,15500,3500,1,2023,,D - Geo only
91,201593749,WILLIAM H AND LEONORA K HEGAMYER,FL,7524265,f,t,0,0,2,15000,7500,1,2019,,D - Geo only
92,226638737,THE SELLA FOUNDATION TRUST,NJ,4342716,f,t,0,0,5,13000,2000,1,2023,,D - Geo only
92,363305162,Patrick G and Shirley W Ryan Foundation,IL,78384236,f,t,0,0,2,13000,6500,1,2022,,D - Geo only
94,480998737,TANTILLO FAMILY FOUNDATION,KS,2191020,t,f,0,0,3,12000,5000,1,2023,,D - Open only
94,760599693,Anne and Don Fizer Foundation,TX,5183516,f,f,0,0,3,12000,5000,1,2022,,E - Neither
96,382707899,THE HAROLD AND MARION GORDON,IL,1534508,f,t,0,0,2,11667,5834,1,2020,,D - Geo only
97,277018900,THE HAMILTON COMPANY CHARITABLE,MA,65711553,f,t,0,0,2,10000,5000,1,2023,,D - Geo only
97,473504335,TC ENERGY FOUNDATION,TX,13260,f,t,0,0,1,10000,10000,1,2022,,D - Geo only
97,391965828,The Hampe Family Foundation,WI,0,f,f,0,0,1,10000,10000,1,2024,,E - Neither
97,932710415,Karl F and Teryn Weintz Foundation Inc,FL,5376878,f,f,0,0,1,10000,10000,1,2023,,E - Neither
97,236257083,THE ANNENBERG FOUNDATION,PA,1462008226,f,t,0,0,1,10000,10000,1,2018,,D - Geo only
97,133630830,SUSAN LATTNER HOLLENBECK,RI,3531836,f,t,0,0,1,10000,10000,1,2019,,D - Geo only
97,043466900,KANE WALLACE FOUNDATION,MA,34690131,f,t,0,0,2,10000,5000,1,2022,,D - Geo only
104,272438669,STANLEY BLAXTON FOUNDATION INC,VA,1123598,f,t,0,0,3,9500,3000,1,2021,,D - Geo only
105,841569926,MANKWITZ FAMILY FOUNDATION,CO,4479,f,t,0,0,7,7700,1000,1,2024,,D - Geo only
106,205140473,NEWPORTFED CHARITABLE FOUNDATION,RI,3236777,t,f,0,0,3,7000,2000,1,2024,,D - Open only
107,200897153,WIREGRASS FOUNDATION,AL,114581730,t,f,0,0,6,6000,1000,1,2024,,D - Open only
108,274267762,The Schmetterling Foundation,DE,37073478,f,t,0,0,1,5000,5000,1,2023,,D - Geo only
108,752514341,THE WARD FAMILY FOUNDATION,TX,6508228,f,t,0,0,1,5000,5000,1,2019,,D - Geo only
108,472589350,ROBERT H SPITZ FOUNDATION,PA,14967486,t,f,0,0,1,5000,5000,1,2023,,D - Open only
108,050493445,AMICA COMPANIES FOUNDATION,RI,43815872,f,t,0,0,1,5000,5000,1,2020,,D - Geo only
108,592819786,THE THOMAS C QUICK CHARITABLE TRUST,FL,9040897,f,t,0,0,1,5000,5000,1,2022,,D - Geo only
108,366047975,ALBERT KUNSTADTER FAMILY FOUNDATION,NY,848171,f,t,0,0,1,5000,5000,1,2024,,D - Geo only
114,364199459,TOWNSEND FAMILY FOUNDATION,CO,3585153,f,t,0,0,3,4000,1000,1,2022,,D - Geo only
115,056091467,NORTH FAMILY TRUST ROBERT CUMMINGS,RI,770060,f,f,0,0,4,3527,964,1,2023,,E - Neither
116,260039094,The Barry S Sternlicht Foundation,DE,170953572,f,t,0,0,3,3000,1000,1,2023,,D - Geo only
117,363461484,STONE BARRETT FOUNDATION,IL,514721,f,t,0,0,2,2200,1100,1,2023,,D - Geo only
118,276651201,RICHARD AND ANN DU MOULIN FOUNDATION,NJ,745384,f,t,0,0,6,2000,500,1,2023,,D - Geo only
118,208067587,Cannupa Foundation,DE,2590915,f,t,0,0,1,2000,2000,1,2023,,D - Geo only
