foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
THE PFIZER FOUNDATION INC,NY,255366549,0,425,2023,f
WAYNE AND GLADYS VALLEY FOUNDATION,CA,254892895,0,30000,2020,t
HUGH J ANDERSEN FOUNDATION,MN,251002895,0,25000,2019,t
Eastern Bank Foundation,MA,249698317,0,5000,2022,t
JF Maddox Foundation,NM,246101367,0,7504,2020,t
CUMMINGS FOUNDATION GRANTS INC (FKA ONEWORLD BOSTON INC),MA,233134310,0,25000,2023,t
THE COLLINS FOUNDATION,OR,227675139,0,7000,2020,t
GEORGIA POWER FOUNDATION INC,GA,217918727,0,2500,2018,t
WILLIAM G MCGOWAN CHARITABLE FUND,IL,216682198,0,3750,2020,t
John T Gorman Foundation,ME,214146299,0,22500,2023,t
THE RICHARD M SCHULZE FAMILY FOUNDATION,MN,209175254,0,10000,2023,t
THE RISC FOUNDATION INC,CT,205437717,0,3000,2021,f
THE ELKINS FOUNDATION,TX,202414363,0,10000,2020,t
THE FRIST FOUNDATION,TN,200236459,0,100000,2018,t
CVS FOUNDATION,RI,197167369,0,1000,2020,t
HERRICK FOUNDATION,MI,179053825,0,25000,2023,t
FR BIGELOW FOUNDATION,MN,176908736,0,25000,2023,t
The Coleman Foundation Inc,IL,174975741,0,11000,2023,t
THE MEIJER FOUNDATION,MI,172757329,0,12500,2023,f
Elmina B Sewall Foundation,ME,170578667,0,28000,2023,t
JA WEDUM FOUNDATION,MN,164265416,0,10000,2023,t
Gilead Foundation,CA,162540742,0,63500,2022,f
Foundation for a Healthy St Petersburg,FL,161224435,0,3500,2019,t
HCA HEALTHCARE FOUNDATION,TN,157252663,0,25000,2023,t
MERANCAS FOUNDATION INC,NC,152384008,0,25000,2023,t
CHARLES E LAKIN FOUNDATION INC,IA,152016678,0,500000,2022,t
Frey Foundation,MI,147686324,0,850,2018,t
HOREJSI CHARITABLE FOUNDATION INC,KS,147518202,0,1000,2023,f
Maine Health Access Foundation Inc,ME,144323858,0,28500,2023,t
Illinois Children's Healthcare,IL,141891372,0,25000,2023,t
NEW YORK LIFE FOUNDATION,NY,140917777,0,3000,2022,t
RETIREMENT RESEARCH FOUNDATION,IL,140682488,0,42461,2023,t
THE ACHELIS & BODMAN FOUNDATION,NY,137130810,0,25000,2022,t
UNITED HEALTH FOUNDATION,MN,134181078,0,5000,2019,f
CULLEN FOUNDATION OF WESTERN NEW YORK,NY,133578982,0,40000,2023,t
The Woodforest Charitable Foundation,TX,133212930,0,1150,2023,f
ALBERT & ETHEL HERZSTEIN,TX,126529173,0,10000,2023,t
THE PETER AND ELIZABETH C TOWER,NY,123162764,0,32000,2022,t
ALABAMA POWER FOUNDATION INC,AL,121475169,0,1000,2023,t
HEALTHY COMMUNITIES FOUNDATION,IL,120153005,0,26575,2023,t
DTE ENERGY FOUNDATION,MI,120093193,0,5000,2023,t
THE DANIEL FOUNDATION OF ALABAMA,AL,115676328,0,25000,2023,t
BAIRD FOUNDATION INC,WI,115318490,0,500,2023,f
THE KROGER CO FOUNDATION,OH,111434488,0,5000,2020,t
THE DAVID AND CAROL VAN ANDEL FAMILY,MI,109872066,0,10000,2023,t
MUTUAL OF OMAHA FOUNDATION,NE,106691699,0,5000,2023,f
EQUITABLE FOUNDATION INC,NY,106085926,0,2935,2020,t
THE BARKER WELFARE FOUNDATION,FL,104073946,0,11500,2023,t
MEDINA FOUNDATION,WA,103615717,0,20000,2022,t
Pincus Family Foundation,DE,101772418,0,25000,2023,f
GEAUGA AMISH LOAN FUND,OH,101672961,0,5000,2019,f
TYKESON FAMILY CHARITABLE TRUST,MT,101525681,0,55195,2023,f
EDWARD JONES FOUNDATION,MO,101433790,0,195,2023,f
Community Memorial Foundation,IL,99318222,0,20000,2023,t
STEVE & AMY VAN ANDEL FOUNDATION,MI,99226020,0,1000,2023,f
NORA ROBERTS FOUNDATION,MD,97685892,0,2500,2023,f
SCAIFE FAMILY FOUNDATION,FL,96340003,0,32500,2023,t
MORGAN STANLEY FOUNDATION INC,NY,96112177,0,1000,2020,f
THE WILLIAM STAMPS FARISH FUND,TX,95687045,0,25000,2022,t
THE FRANCIS FAMILY FOUNDATION,MO,94751446,0,15000,2023,t
THE 1994 CHARLES B DEGENSTEIN FDN,PA,94636020,0,15000,2020,f
ARLENE & JOSEPH MERAUX CHARITABLE,LA,94413235,0,5000,2023,f
TARGET FOUNDATION,MN,92692164,0,14400,2020,t
