"metric","value"
"val_auc",0.97938664787151
"val_accuracy",0.933653664716823
"val_precision",0.949253360567501
"val_recall",0.917704038746348
"val_f1",0.93321212696819
"test_auc",0.979466590719872
"test_accuracy",0.933322104695816
"test_precision",0.949849368453055
"test_recall",0.916427780962921
"test_f1",0.932839315160522
"cv_auc",0.979540347187969
"intercept",1.47156962381247
"n_features_nonzero",84
"n_features_total",97
