foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
LAURENCE B FLOOD FOUNDATION INC,ME,2164358,0,500,2024,f
Omron Foundation Inc,IL,2109198,0,202,2022,t
PASTERNAK FAMILY FOUNDATION,NJ,2079947,0,5000,2019,f
IBN AL-HAITHAM ENDOWMENT FUND INC,IN,1945811,0,25000,2022,f
Paula Knickerbocker Foundation Inc,ID,1802919,0,200,2019,t
NEW TUDOR FOUNDATION,MA,1717448,0,2500,2023,f
BAKER HUGHES FOUNDATION,TX,1696044,0,256,2023,f
MCKESSON FOUNDATION INC,TX,1615367,0,50000,2022,f
USG FOUNDATION INC,IL,1583533,0,500,2023,t
LISA & ERNEST AUERBACH FAMILY FOUNDATION,CA,1525940,0,5000,2023,f
REESE FAMILY CHARITABLE FOUNDATION,FL,1406064,0,1750,2023,t
THE RICHARD T SHARP FOUNDATION,NY,1341262,0,1000,2023,f
CITIZENS CHARITABLE FOUNDATION,RI,1338872,0,250,2023,f
TAWILA FAMILY FOUNDATION,MI,1296278,0,5062,2022,f
THE DAYLE H AND MICHAEL KATZ,NY,1170965,0,6000,2018,t
AHISKA TURKISH ISLAMIC CENTER INC,MO,1166064,0,500,2017,f
JALIL FAMILY FOUNDATION,CA,1107819,0,300,2023,t
EVAMARG-MACRUSS-GLO COMMUNITY SUPPORT,ID,1103708,0,1500,2019,t
Harry T & Shirley W Dozor Foundation,PA,1092435,0,16500,2023,f
MS KHAN FAMILY FOUNDATION INC,FL,995399,0,2000,2023,f
Fife Family Foundation Inc,CA,990388,0,2000,2019,t
JANKLOW FOUNDATION,NY,989244,0,1500,2019,f
Chami Family Foundation,NV,978188,0,5000,2023,t
THE FOUNTAIN OF KNOWLEDG FOUNDATION,MI,953035,0,760,2019,f
THE RAZZAK FOUNDATION,MI,952077,0,5000,2023,f
FREDERICK HENRY & DIANA PRINCE,DC,936371,0,500,2019,f
DAVID FAMILY FOUNDATION,TX,891010,0,2000,2019,f
The Lucey Family Foundation Inc,DE,838005,0,2000,2023,f
The Andover Companies Charitable Foundation,DE,792463,0,1103,2023,f
The Ted Muhs Foundation,DE,760991,0,2000,2023,f
THE JUDES FOUNDATION,MI,728626,0,11000,2018,f
First Eagle Investments Foundation,DE,687206,0,1000,2022,f
THE STEELE FAMILY FOUNDATION,CA,637206,0,5000,2019,f
THE FAMILY FOUNDATION,TX,597543,0,10250,2020,f
ALLEN BIRGE CHARITABLE TRUST,MO,585936,0,1625,2019,f
THE EMAN FOUNDATION,PA,553656,0,10000,2022,f
THE AL-MIDANI FOUNDATION,MI,524913,0,10000,2023,f
Motorola Solutions Foundation,IL,494818,0,270,2019,t
JOSEPH R & HELEN SHAKER FAMILY,IL,477979,0,5000,2022,f
THE GUSTAVEL WYNN FOUNDATION INC,ID,472404,0,1000,2024,f
BARZINJI FAMILY FOUNDATION,VA,470465,0,10000,2022,t
Gienapp Family Foundation,DE,459656,0,250,2020,f
SHARBEK FAMILY FOUNDATION,OH,405585,0,5000,2023,f
MERCHANT FAMILY FOUNDATION,OR,394297,0,3000,2024,f
CREATIVE CHRISTIAN IMAGERY INC,ID,384570,0,230,2019,f
The Pink Shamrock,WA,367150,0,5000,2021,t
LEO H WILLIAMS DEC'D TRUST,WI,357700,0,5815,2023,f
MICHAEL & RUTH SLADE FOUNDATION,NY,354751,0,15000,2023,f
DASANKOP FAMILY FOUNDATION,FL,352867,0,325,2020,f
NOOR MUNSHI FOUNDATION,TX,324898,0,5000,2022,t
THE NUR FOUNDATION,MI,283521,0,15000,2019,f
THE ARIF FOUNDATION,MI,258713,0,8750,2023,f
THE YASEEN FAMILY FOUNDATION INC,FL,229101,0,25,2020,f
Muntasser Foundation Inc,MA,225498,0,500,2023,f
SIDRA FOUNDATION,FL,198296,0,10000,2023,f
THE JUDY AND LARRY J FREEMAN,CA,161606,0,4000,2023,f
CAROLE AND ROBERT DALY CHARITABLE FOUNDATION,CA,129014,0,10000,2018,f
PAT COVELLI FOUNDATION INC,NY,113452,0,2500,2023,f
PAN-OYLER FOUNDATION,PA,112234,0,5000,2023,f
The Dalton Family Foundation,NY,107597,0,5000,2020,f
THE ABU AKEEL FOUNDATION,MI,47419,0,1000,2023,t
SILENT FOUNDATION FOR THE ARTS,CA,43491,0,2000,2018,f
Zakia and Mian Family Charitable Foundation Inc,FL,41948,0,500,2024,f
KARMAGAWA FOUNDATION INC,FL,31581,0,100000,2020,f
THE HONEST FOUNDATION,MI,18834,0,9350,2023,f
MASHHOON FAMILY FOUNDATION,CA,6998,0,2000,2023,f
THE HOYT AND VIORICA PARDEE FOUNDATION,CA,4853,0,2000,2018,f
THE HADI FOUNDATION,MI,3724,0,10000,2023,f
MEYER FAMILY FOUNDATION,ID,2498,0,3500,2020,t
THE MALIK FAMILY FOUNDATION,MO,2095,0,200,2023,f
DR NUSSRI FOUNDATION,MI,1000,0,10000,2020,t
NAJJAR FAMILY FOUNDATION,MI,458,0,10000,2023,t
OBID FAMILY FOUNDATION INC,FL,1,0,8000,2019,f
DAVID J BEYDA MEMORIAL FOUNDATION INC,NJ,0,0,1000,2019,f
BRAGG HEALTH FOUNDATION,CA,0,0,5000,2018,f
POSEL FOUNDATION,PA,0,0,27500,2022,f
GREENWALD FAMILY FOUNDATION INC,MA,0,0,1000,2022,f
ALCON CARES INC,TX,0,0,1668,2020,t
ALPERT & ALPERT FOUNDATION,CA,0,0,1000,2017,f
