foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
THE FITZGERALD FOUNDATION INC,VA,168802,1,409,2023,t
TRAVELERS FOUNDATION,MN,94241,1,10000,2023,t
Joseph L Vozza Family Foundation Inc,FL,73762,1,75,2021,f
RICHEY MAY CARES FOUNDATION,CO,21831,1,3068,2024,t
FIFTH THIRD CHICAGOLAND FOUNDATION,IL,0,1,3000,2023,t
MURPHY FAMILY FOUNDATION INC,FL,0,1,1200,2020,t
BILL & MELINDA GATES FOUNDATION,WA,76951451400,0,50000,2023,t
LILLY ENDOWMENT INC,IN,62180012552,0,21340,2018,t
THE FORD FOUNDATION,NY,16791366964,0,200,2020,t
THE ROBERT WOOD JOHNSON FOUNDATION,NJ,13678252785,0,10000,2023,t
FOUNDATION TO PROMOTE OPEN SOCIETY,NY,10502606362,0,25000,2023,f
Walton Family Foundation Inc,AR,5714135948,0,5520,2022,f
Michael & Susan Dell Foundation,TX,5415306792,0,552000,2023,t
THE CALIFORNIA ENDOWMENT,CA,4453417123,0,150000,2023,f
THE KRESGE FOUNDATION,MI,4065070521,0,162500,2023,t
FIDELITY FOUNDATION,MA,3824770952,0,175000,2023,t
CHARLES STEWART MOTT FOUNDATION,MI,3710874863,0,150,2020,t
MOTHER CABRINI HEALTH FOUNDATION INC,NY,3696313328,0,80988,2022,t
The James Irvine Foundation,CA,3300619484,0,10000,2022,f
THE WILLIAM PENN FOUNDATION,PA,3286225714,0,100000,2023,t
MARGARET A CARGILL FOUNDATION,MN,3254260683,0,2500,2022,f
THE COLORADO HEALTH FOUNDATION,CO,2822619846,0,56250,2023,t
THE JPB FOUNDATION,NY,2750408293,0,50000,2020,f
The Moody Foundation,TX,2228364246,0,65000,2022,t
DOGWOOD HEALTH TRUST,NC,1896083073,0,15000,2020,t
THE ELI AND EDYTHE BROAD FOUNDATION,CA,1816766371,0,2000,2023,f
Fred C and Katherine B Andersen Foundation,MN,1673338615,0,20000,2024,t
THE ANNENBERG FOUNDATION,PA,1462008226,0,50000,2020,f
DANIELS FUND,CO,1303622638,0,100000,2023,t
THE PAUL G ALLEN FAMILY FOUNDATION,WA,1286324323,0,75000,2018,f
THE CONRAD PREBYS FOUNDATION,CA,1125949431,0,11000,2023,t
The Ford Family Foundation,OR,1125032912,0,50000,2022,t
ARIE AND IDA CROWN MEMORIAL,IL,1066800812,0,60000,2023,t
GHR Foundation,MN,1058745763,0,20000,2022,f
THE CALIFORNIA WELLNESS FOUNDATION,CA,1042135742,0,10000,2023,t
THE SUNDERLAND FOUNDATION,KS,1017130762,0,251880,2022,t
LONGWOOD FOUNDATION INC,DE,967518991,0,200000,2022,t
RAINWATER CHARITABLE FOUNDATION,TX,881075731,0,540425,2023,f
The Commonwealth Fund,NY,875566732,0,1531,2022,t
WEINGART FOUNDATION,CA,866296097,0,150000,2022,t
William Randolph Hearst Foundation,NY,863516672,0,100000,2020,t
THE SKOLL FOUNDATION,CA,807076748,0,90000,2022,t
JAMES M COX FOUNDATION OF GEORGIA INC,GA,793917812,0,250000,2023,t
JE AND LE MABEE FOUNDATION INC,TX,782960269,0,262000,2022,f
JOHN E FETZER INSTITUTE INC,MI,778712012,0,220,2019,f
THE CRAWFORD TAYLOR FOUNDATION,MO,729606494,0,25000,2022,f
Meadows Foundation Inc,TX,694306466,0,95000,2019,t
THE MORRIS AND GWENDOLYN CAFRITZ,DC,623293264,0,50000,2023,t
Eagle Foundation,NE,598617120,0,20000,2022,f
WYNCOTE FOUNDATION,PA,581268608,0,2020000,2023,f
Charles & Margery Barancik Foundation Inc,FL,577773944,0,255000,2024,f
CIRCLE OF SERVICE FOUNDATION,IL,565709610,0,35000,2023,t
Enterprise Holdings Foundation,MO,545498383,0,2000,2023,t
NORTHWEST AREA FOUNDATION,MN,528546911,0,250000,2023,f
W P CAREY FOUNDATION INC,NY,527928410,0,3000,2023,f
MARTY AND DOROTHY SILVERMAN FOUNDATION,NY,499859709,0,85000,2023,f
CLARK CHARITABLE FOUNDATION INC,MD,491907174,0,25000,2020,f
THE NATHAN CUMMINGS FOUNDATION INC,NY,470838848,0,10000,2020,t
PRICE PHILANTHROPIES FOUNDATION,CA,470624292,0,55000,2023,t
THE WILLIAM JEFF AND JENNIFER GROSS FAM,CA,464077212,0,100000,2023,f
YAWKEY FOUNDATION II,MA,448413557,0,25000,2020,t
EL POMAR FOUNDATION,CO,447556831,0,5000,2021,t
THE RALPH M PARSONS FOUNDATION,CA,438732767,0,75000,2023,t
THE DAVID GEFFEN FOUNDATION,CA,438590219,0,30000,2023,f
TRUIST FOUNDATION INC,FL,435603374,0,30000,2022,t
Valley Baptist Legacy Foundation,TX,429107497,0,30000,2023,t
The Powell Foundation,TX,421222742,0,62500,2022,t
PATTERSON FAMILY FOUNDATION,MO,399846544,0,2585,2020,f
Peter Kiewit Foundation,NE,396126812,0,2000000,2022,t
Joseph and Vera Zilber Family Foundation Inc,WI,396066804,0,125000,2018,t
THE KEITH CAMPBELL FOUNDATION,MD,377320425,0,37500,2023,t
UNIHEALTH FOUNDATION,CA,375873114,0,165000,2023,t
SCHULTZ FAMILY FOUNDATION,WA,375194129,0,5000,2019,t
MARIE LAMFROM CHARITABLE FOUNDATION,OR,374872001,0,25000,2024,t
JAMES GRAHAM BROWN FOUNDATION INC,KY,366389366,0,483250,2022,t
NEW YORK STATE HEALTH FDN,NY,360607673,0,100000,2024,t
THE ROUNDHOUSE FOUNDATION,OR,358883108,0,62500,2023,t
THE ARTHUR M BLANK FAMILY FOUNDATION,GA,352841834,0,300000,2023,f
IBM INTERNATIONAL FOUNDATION,NY,340584348,0,1575,2020,f
THE ABELL FOUNDATION INC,MD,334676808,0,56250,2022,t
GARY AND MARY WEST CHARITABLE TRUST,CA,333413300,0,107250,2023,f
IRVING S GILMORE FOUNDATION,MI,332627704,0,75000,2023,t
THE FB HERON FOUNDATION,CT,326924230,0,150000,2023,t
Polk Bros Foundation Inc,IL,324694311,0,70000,2022,t
