related_to_beta_via,foundation_name,foundation_ein,person_name,title,year,source
136083839,THE PFIZER FOUNDATION INC,136083839,DARREN BACK,EXECUTIVE DIRECTOR,2023,F990 Officers
136083839,THE PFIZER FOUNDATION INC,136083839,AAMIR MALIK,DIRECTOR (AS OF 1/2022),2022,F990 Officers
136083839,THE PFIZER FOUNDATION INC,136083839,DARREN BACK,"VP, GLOBAL HEALTH",2020,F990 Officers
392066890,THE PRESENT FAMILY FOUNDATION INC,392066890,DOUGLAS PRESENT,PRES/TRUSTEE,2023,F990 Officers
392066890,THE PRESENT FAMILY FOUNDATION INC,392066890,DOUGLAS PRESENT,PRES/TRUSTEE,2022,F990 Officers
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,J SEBASTIAN SCRIPPS,DIRECTOR,2023,F990 Officers
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,J SEBASTIAN SCRIPPS,DIRECTOR,2022,F990 Officers
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,J SEBASTIAN SCRIPPS,DIRECTOR,2021,F990 Officers
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,J SEBASTIAN SCRIPPS,DIRECTOR,2020,F990 Officers
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,J SEBASTIAN SCRIPPS,DIRECTOR,2019,F990 Officers
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,472630731,J SEBASTIAN SCRIPPS,DIRECTOR,2018,F990 Officers
812297831,THE SMART FAMILY FUND,812297831,DAVID ARCHIBALD SMART,PRESIDENT AND DIRECTOR,2023,F990 Officers
812297831,THE SMART FAMILY FUND,812297831,DAVID ARCHIBALD SMART,PRESIDENT AND DIRECTOR,2022,F990 Officers
812297831,THE SMART FAMILY FUND,812297831,DAVID ARCHIBALD SMART,PRESIDENT AND DIRECTOR,2021,F990 Officers
812297831,THE SMART FAMILY FUND,812297831,DAVID ARCHIBALD SMART,PRESIDENT AND DIRECTOR,2020,F990 Officers
812297831,THE SMART FAMILY FUND,812297831,DAVID ARCHIBALD SMART,PRESIDENT AND DIRECTOR,2019,F990 Officers
231503488,THE WILLIAM PENN FOUNDATION,231503488,ALLISON ACEVEDO,BOARD MEMBER,2023,F990 Officers
231503488,THE WILLIAM PENN FOUNDATION,231503488,JANET HAAS,BOARD MEMBER/ASSOC. CORP MEMBER,2022,F990 Officers
231503488,THE WILLIAM PENN FOUNDATION,231503488,JANET HAAS,BOARD CHAIR & ASSOC CORP MEMBER,2020,F990 Officers
