address,city,state,foundation_count,combined_assets,combined_grants,foundation_names,likely_company
PO BOX 0634,MILWAUKEE,WI,23,246682181.0,16348243.0,ADAMS PHILANTHROPIC TRUST CO US BANK | CHARLES & FLORENCE PHELPS TRUST | E C BROWN TRUST | E G HOUCHENS FOUNDATION INC TRUST | EMILY VAN NUYS CHARITABLE REMAINDER TRUST | GEORGE G BIRDSALL TW | GREATER DENFELD FOUNDATION INC | HARDY & HENRIETTA HUGHENS CHARITABLE TR | JESSIE F HALLETT CHAR TRUST UA | JOHN CRAGIN PRIVATE FOUNDATION | JOSEPH C DUKE FOUNDATION | LAURENCE & LYDIA BALTES CHARITABLE | MAYME & HERBERT FRANK EDUCATN TR | MEELEUS CHARITABLE TRUST | MURIEL WHITESIDE CHARITABLE TR | MYRON ...,U.S. Bank
PO BOX 1802,PROVIDENCE,RI,21,124485768.0,6654949.0,COCHRAN A&A UA LE DRISCALL ET | HALL FDN TR 3 UW ARTICLE 20TH E | HALL FDN TR 4 UW ARTICLE 20TH F | HALL R O TR 2 BO HALL FDN | HARRISON & CONRAD MEMORIAL TRUST | JONES W C UW CTY MIDDLETOWN ETAL | KAY FRANK UW MER MASONIC TMPL FD | LOU H WILLEKE TUW | MURIEL L MCLAUTHLIN UW | NEELANS HAZEL A UW ART 7 TOS | OSBORNE WF-DERBY NECK LIBRARY | PARDEE FD II TR UW | PHILIP A ROGERS FOUNDATION NECT | THE BOB HUGHES FUND | THE MORNINGSTAR FOUNDATION | TR PERPETUAL CAREANTIOCH CEM | TR UW CHARLES H STONE-...,Bank of America (Trust)
PO BOX 919798,ORLANDO,FL,18,590236849.0,75149351.0,BONHAM MATTIE FBO TB ASSOC-TUW | CALERES CARES CHARITABLE TRUST | COLE M CHESTER TA | GEORGE T JACKSON AND GEORGIANA W JACKSON | H AND N HENRY MEM TR | JACK & NANCY RAGLAND MEMORIAL TRUST | LYLE R BAKER & BENICE V BAKER CHARITAB | MHK FOUNDATION PERPETUAL CH TR(1071) | PLANT CAROLINE G TUW | PORTER FLEMING FDN TR UA | REMUS R ROUSE TUW GOOD SHEPHERD | RICHARD B WALKER CHARITABLETRUST1535 | ROBERT D AND MARGARET W QUIN FDN | SMITH GENERAL WA TUW | TR UW ALVAH W LANCASTER | TRUIST FOUNDATION FKA S...,Unknown - needs research
110 N WACKER DRIVE IL4-110-07-03,CHICAGO,IL,15,36349565.0,1767811.0,A W FARWELL FOR CHGO HOME DESTITUTE CHRIPPLED | CAROLINE WILLIAMS CHARITABLE TRUST | CLAYTON & GENEVE FREUND TRUST | EUGENE B BOWEN TUW-UNIVERSALIST | GEORGE J WILLIAMS CHARITABLE TRUST | GEORGE R S-VARIOUS CHARITIES | GEORGE ZENDT CHARITABLE TRUST | HARRUB CHFIRST BAPTIST CH WTBY | HARTMAN F AFIVE PT MISSION ETAL | HOBART W WILLIAMS | IR TR UA BETTY LOVE | SUCC TR UW WARREN F BRENIZER | TUA M E SINGLETON SCHOLARSHIP | TUA MINNIE DENSLOW CHARITABLE | W THOMAS KITCHEN TRUST,Unknown - needs research
4900 TIEDEMAN ROAD OH-01-49-0381,BROOKLYN,OH,14,126453631.0,9235448.0,BEAN L CARL SCHOLARSHIP PFDN | BISHOP FUND FD NO 2 | ELLSWORTH HENRY E & ABIGAIL E FUND | FIENBERG ABRAHAM CHAR SUCC-TW | GRIFFITHS E S AND M R SUCC-CO-TA | HAYES H (PUBLIC SVCS) UW | JANCA FAMILY FOUNDATION | LONG BLANCHE &EDMOND SCHSP FDN | M E TURNER REV CHAR TRUST PFDN | MARR CHARITY TRUST FUND UW STANLEY F MARR | RITTER G FBO CHARITIES MAX ENDW | TR UW HARRY DUBOIS FREY BO YMCA OLD DUTCH | TR UW JOHN LOESCH BO UNIVERSITY OF MUNICH | W T WRIGHT FOR A B WRIGHT TR B,Unknown - needs research
P O BOX 11647,BIRMINGHAM,AL,14,148477492.0,8713447.0,AL ELKS TRUST INC | ALLETTA TURNER RESIDUAL CEMETERY TR | DINWIDDIE TR UWWORTHY POOR (PRE 1969 | E MILNER TRUST UW (PRE-1969 CHARITABLE | FLOSSIE R CARTER CHARITABLE TRUST UW | GERTRUDE V TURNER CRAT | JOHN I MORRILL FOUNDATION | MARY E KRUTHAUP TUW | MYRTIE A BLACK TRUST | ST PAUL SCHOLARSHIP FOUNDATION ENDOWMEN | STPAULINDTRSCH | STURGIS CHARITABLE TRUST | TR UW TRABANT NORTH KNOX COUNTY | WILLIAM A BURTON CHARITABLE TRUST,Unknown - needs research
575 LEXINGTON AVENUE 34TH FL,NEW YORK,NY,13,902165915.0,54781412.0,AHBA INC | BCHB INC | CLRC INC | DBID INC | EMLE INC | FIMF INC | GBRG INC | HLMH INC | LMCL INC | NAON INC | OCLO INC | PBHP INC | YLRY INC,Unknown - needs research
114 W 47TH ST NY8-114-07-07 AFT,NEW YORK,NY,10,116862042.0,8356967.0,BERNARD WEINBERG FOUNDATION | CURTIS W MCGRAW FOUNDATION | EWS FOUNDATION | HELLEN I PLUMMER CHARITABLE FOUNDATION | LISA MCGRAW FIGURE SKATING FDN | MAGISTRO FAMILY FOUNDATION INC | NITRAM FOUNDATION INC | SHAMROCK FIVE FOUNDATION INC | ST ROMAIN FAMILY FDN DIMA-IXIS | W & J SALES FAMILY FOUNDATION INC,Unknown - needs research
500 FIRST AVE P7-PFSC-03-Z,PITTSBURGH,PA,9,6349398.0,311814.0,ABRAHAM L HUFF TRUST TW | BENJAMIN & ETHEL ANDREWS | DAVID HENRY CHARITABLE TRUST | E TINKER FOR PLEASANT VALLEY CEMETERY | EDITH C WILDER TW FBO FNDTN | LUTSCH J J & F M MEMORIAL FUND | MCCOLLOUGH FOR HILLVIEW CEMETERY | PAUL M KAUFFMAN | SAMUEL L HOWELL CHARITABLE TRUST,Unknown - needs research
PO BOX 40200 FL9-300-01-16,JACKSONVILLE,FL,9,4916030.0,295646.0,ALVERDA E ZIMMER CHARITABLE TRUST | H J MUNNERLYN-RES CHARITABLE TR | IRA JONES CHARITABLE TRUST | S L HOOVER TR UW WINC MEM HOSP | TR U-W ELIZABETH JOHNSON | TR UA MUNNERLYN ET AL | TR UW J P MATHESON-MATHESON FDN | TR UW MUNNERLYN CHARITABLE TR | USNY UD M ROVENSKY 461 FDN NMA,Unknown - needs research
