ein,org_name,city,state,zip,phone,website,mission_statement,contact_name,contact_title,sector,employee_count,total_revenue,grant_dependency_pct,yoy_revenue_growth,num_foundation_grants,icp_score,fundraising_likelihood_score
581831882,SHELTER MINISTRIES OF ROWAN COUNTY,SALISBURY,NC,28144,,N/A,TO PROVIDE THE ASSETS FOR THE NONPROFIT ORGANIZATION OF ROWAN HELPING MINISTRIES.,CHRIS BRADSHAW,Director,P,0,1620522,98.08,130.6,0,10,0
593055343,THE CHILDREN'S HOME SOCIETY OF FLORIDA,ORLANDO,FL,32822,,WWW.CHSFL.ORG,"THE PRIMARY EXEMPT PURPOSE OF THE FOUNDATION IS TO SOLICIT, HOLD, MANAGE, AND INVEST ENDOWMENT FUNDS FOR THE BENEFIT OF THE CHILDREN'S HOME SOCIETY OF FLORIDA.",ANDRY SWEET,"CHS PRESIDENT & CEO, EX-OFFICIO",P,0,1006377,76.48,-51.1,1,10,0
611160806,PIKE COUNTY SENIOR CITIZENS PROGRAM INC,PIKEVILLE,KY,41502,,N/A,"TO PROVIDE TIII SERVICEWS SUCH AS CONGREGATE MEALS, HOME DELIVERED MEALS, TITLE IIIB SERVICES, AND TITLE IIID SERVICES TO INDIVIDUALS 60 AND OLDER.",,,P,0,1142733,100,12.4,0,10,0
161526805,MALAWI CHILDREN'S VILLAGE,ANCHORAGE,AK,99524,,MALAWICHILDRENSVILLAGE.ORG,"ENHANCING THE LIVES OF ORPHANS BY PROVIDING HEALTH, SOCIAL, AND EDUCATIONAL RESOURCES IN MALAWI.",JAMES MILLER,PRESIDENT,P,0,1316094,100,229.4,0,10,0
542135886,CORINTHIAN POINTE SENIOR LIVING COR,HOUSTON,TX,77085,,NA,AFFORDABLE HOUSING FOR SENIORS.,MS PAULETTE SIMMONS,DIRECTOR,P,3,1393433,100,-4.8,0,10,0
550577681,Wood County Senior Citizens Assoc,Parkersburg,WV,26101,,www.wcscwv.org,"PROVIDE IN-HOME NUTRITIONAL, PERSONAL CARE AND TRANSPORTATION SERVICES TO LOW INCOME SENIORS OF WOOD COUNTY WEST VIRGINIA.",Kelly Goedel,Executive Director,P,0,1187543,97.07,-15.1,0,10,0
830685644,MITCHELL HOSPICE HOUSE,JEFFERSON,SD,57038,,WWW.MITCHELLHOSPICEHOUSE.ORG,"TO ESTABLISH A HOSPICE CARE TO SERVICE THE SIOUXLAND AREA, ASSIST WITH MANAGING A LOVED ONE'S FINAL ILLNESS AND PROVIDE AN AREA WHERE FAMILY MEMBERS MAY GATHER WITH THEIR LOVED ONES.",SUSAN MACFARLANE,PRESIDENT,P,0,1507358,100.29,282.8,0,10,0
911156586,SNO-VALLEY SENIOR CITIZENS,CARNATION,WA,98014,,WWW.SNOVALLEYSENIOR.ORG,"THE MISSION OF THE SNO-VALLEY SENIOR CENTER IS TO CULTIVATE A WELCOMING, INCLUSIVE GATHERING PLACE THAT SUPPORTS, INSPIRES, AND UPLIFTS OUR SNOQUALMIE VALLEY COMMUNITY TO LEAD HEALTHY, ENRICHED LIVES THROUGH PARTICIPATION IN DIVERSE PROGRAMS.",JAMES WIGFALL,CEO,P,0,1749082,76.41,,2,10,0
824791560,HOUSTON STRONG CHILDREN SERVICES,Houston,TX,77092,,www.houstonstrongchildrenservices.org,To provide direct care services to the underserved communities. We aim to provide wraparound support for foster youth & young adults & their families.,MAURICE MTAZA,EXECUTIVE DIRECTOR,P,0,1418421,100,23.2,0,10,0
910903084,NEXUS YOUTH AND FAMILIES,SEATTLE,WA,981041194,,WWW.NEXUS4KIDS.ORG,"RESTORING HOPE, BUILDING FUTURES, AND STRENGTHENING OUR COMMUNITIES THROUGH PROGRAMS WITH YOUTH, YOUNG ADULTS AND FAMILIES. WE SUPPORT THE BEHAVIORAL HEALTH OF AT-RISK AND IN-CRISIS YOUTH ACROSS THE GREATER SOUTH KING COUNTY AREA. WE TAKE AN INTEGRATED, HOLISTIC APPROACH TO ASSISTING YOUTH AND THEIR FAMILIES, CONNECTING THEM WITH A WIDER NETWORK OF SERVICES TO BEST FIT THEIR NEEDS.",LORIA B YEADON,PRESIDENT & CEO,P,0,1692725,100,,0,10,0
863954111,FRIENDS OF ORCAS SENIOR CENTER,Eastsound,WA,98245,,orcasseniors.org,"Orcas Senior Center (OSC) engages the community to provide services, advocacy, and support so that people can live and age well on Orcas Island. Orcas Senior Center supports this community through a variety of opportunities, programs, shared meals, and social and educational events; the promotion of ""sound mind, sound body"" as well as commitment to the community at large.",ALLAN ROSATO,VICE PRESIDENT,P,3,1326228,94.19,-7.3,0,10,0
452826416,CHILDREN'S HOPE,MONTGOMERY,AL,36104,,WWW.CHILDRENS-HOPE.COM,"TO ENGAGE THE CHURCH IN CARRYING OUT GOD'S COMMAND TO CARE FOR ORPHANS, EDUCATE CHILDREN, AND SPREAD THE GOSPEL OF JESUS CHRIST.",ANDY BIRCHFIELD,PRESIDENT,P,0,1282262,97.81,-5.6,4,8,7
581366508,MERCY SENIOR CARE INC,ATLANTA,GA,303121848,,WWW.MERCYATLANTA.ORG/MERCY_ROME_HOME,"WE, SAINT JOSEPH'S HEALTH SYSTEM AND TRINITY HEALTH, SERVE TOGETHER IN THE SPIRIT OF THE GOSPEL AS A COMPASSIONATE AND TRANSFORMING HEALING PRESENCE WITHIN OUR COMMUNITIES. HONORING THE HERITAGE AND ADVANCING THE MINISTRY OF THE SISTERS OF MERCY, SAINT JOSEPH'S HEALTH SYSTEM PROVIDES EXCELLENT HEALTH CARE TO POOR AND MARGINALIZED PERSONS.MERCY SENIOR CARE IS A MEMBER OF SAINT JOSEPH'S HEALTH SYSTEM AND TRINITY HEALTH.",EARL THOMAS ANDREWS,DIRECTOR; PRESIDENT & CEO,P,0,1354970,84.91,-13,4,8,0
