,,,,,,,,,,,,,
ein,business name,state,total assets,grantee count,cb grant count,intermediary grant count,paid officer count,phone,website,top officer name,top officer title,segment,segment priority
226930631,THE ROUNDHOUSE FOUNDATION,OR,"$358,883,108", 452 , 7 , 25 ,0,5419040700,ROUNDHOUSEFOUNDATION.ORG,KATHLEEN DEGGENDORFER,TRUSTEE,Intermediary Funders,1
251721100,THE HEINZ ENDOWMENTS,PA,"$2,130,567,687", 438 , 178 , 50 ,0,4122815777,WWW.HEINZ.ORG,ANDRE T HEINZ,CHAIR,Intermediary Funders,1
830590263,MOTHER CABRINI HEALTH FOUNDATION INC,NY,"$3,696,313,328", 429 , 2 , 80 ,3,6469803001,WWW.CABRINIHEALTH.ORG,Gregory Mustaciuolo,Chief Executive Officer,Intermediary Funders,1
137029285,OPEN SOCIETY INSTITUTE,NY,"$5,268,526,545", 420 , 2 , 23 ,0,2125480600,WWW.OPENSOCIETYFOUNDATIONS.ORG,GEORGE SOROS,TRUSTEE/CHAIR,Intermediary Funders,1
930806316,MEYER MEMORIAL TRUST,OR,"$885,167,113", 418 , 469 , 42 ,3,5032285512,WWW.MMT.ORG,DOUG STAMM,CEO,Intermediary Funders,1
364336415,Michael & Susan Dell Foundation,TX,"$5,415,306,792", 410 , 10 , 36 ,0,5126005500,https://www.dell.org,Michael S Dell,President/Dir,Intermediary Funders,1
391577137,GREEN BAY PACKERS FOUNDATION,WI,"$51,398,422", 407 , 14 , 17 ,0,9205697500,https://www.packers.com/community/packers-foundation,MICHAEL J BARBER,DIRECTOR,Intermediary Funders,1
436064859,EWING MARION KAUFFMAN FOUNDATION,MO,"$2,409,622,579", 368 , 44 , 66 ,2,8169321000,WWW.KAUFFMAN.ORG,Kristin Bechard,Treasurer,Intermediary Funders,1
936021893,THE COLLINS FOUNDATION,OR,"$227,675,139", 341 , 34 , 35 ,0,5032277171,WWW.COLLINSFOUNDATION.ORG,TRUMAN W COLLINS JR,PRESIDENT/TRUSTEE,Intermediary Funders,1
562582815,CITIZENS PHILANTHROPIC FOUNDATION INC,NJ,"$16,928,371", 322 , 28 , 17 ,0,4012823638,HTTPS://WWW.CITIZENSBANK.COM/ABOUT-US/COMMUNITY.A,BARBARA COTTAM END 1022,PRESIDENT,Intermediary Funders,1
473504335,TC ENERGY FOUNDATION,TX,"$10,168,706", 316 , 4 , 13 ,0,8323205263,https://www.servcorp.com/en/virtual-offices/locations/houston/tc-energy-center,IAN HENDY,TRUSTEE,Intermediary Funders,1
742170127,The Cynthia & George Mitchell Foundation,TX,"$388,623,760", 316 , 6 , 10 ,1,7133775060,www.cgmf.org,Katherine Lorenz,President,Intermediary Funders,1
131628151,CARNEGIE CORPORATION OF NEW YORK,NY,"$4,536,407,530", 315 , 8 , 29 ,5,2123713200,https://www.carnegie.org,VARTAN GREGORIAN SEE STMT 18,PRESIDENT,Intermediary Funders,1
650464177,JOHN S AND JAMES L KNIGHT FOUNDATION,FL,"$2,533,365,916", 314 , 40 , 59 ,1,3059082600,WWW.KF.ORG,FRANK BORGES,CHAIRMAN AND TRUSTEE,Intermediary Funders,1
936021333,THE AUTZEN FOUNDATION,OR,"$7,950,301", 313 , 89 , 12 ,3,5032266051,HTTPS://WWW.AUTZENFOUNDATION.ORG/,PHILLIP PATTON,PRESIDENT,Intermediary Funders,1
131635260,The Commonwealth Fund,NY,"$875,566,732", 308 , 456 , 22 ,1,2126063858,www.commonwealthfund.org,Barry Scholl,Executive Vice President and Chief Operating Officer,Intermediary Funders,1
450921232,THE RALPH C WILSON JR FOUNDATION,MI,"$1,001,561,935", 299 , 21 , 31 ,1,3138851895,RALPHCWILSONJRFOUNDATION.ORG,DAVID O EGNER,PRESIDENT/CHIEF EXCECUTIVE OFFICER,Intermediary Funders,1
946068564,WALTER AND ELISE HAAS FUND,CA,"$252,512,662", 288 , 256 , 19 ,0,4153984474,WWW.HAASSR.ORG,PETER E HAAS JR,TRUSTEE/PRESIDENT,Intermediary Funders,1
223125880,PSEG FOUNDATION INC,NJ,"$38,382,950", 284 , 2 , 27 ,0,9734306734,https://www.3blmedia.com/news/pseg-foundation-celebrates-10-years-and-nearly-8m-grants-empowering-communities-across-new,Daniel J Cregg,Trustee,Intermediary Funders,1
746013920,Houston Endowment Inc,TX,"$2,370,195,483", 282 , 248 , 23 ,3,7132388100,WWW.HOUSTONENDOWMENT.ORG,Cynthia Hurrington,"DIRECTOR, PRESIDENT, & CEO",Intermediary Funders,1
753003371,THE AVISTA FOUNDATION,WA,"$12,636,988", 282 , 9 , 16 ,0,,www.avistafoundation.org,Latisha Hill,President,Intermediary Funders,1
731286874,THE ANNE AND HENRY ZARROW FOUNDATION,OK,"$331,771,394", 277 , 406 , 15 ,0,9182958000,WWW.ZARROW.COM,LISA ZARROW,DIRECTOR,Intermediary Funders,1
381675780,THE SKILLMAN FOUNDATION,MI,"$406,218,537", 276 , 26 , 14 ,2,3133931185,HTTP://WWW.SKILLMAN.ORG,ANGELIQUE POWER,"PRESIDENT, SECRETARY & CEO",Intermediary Funders,1
770348912,THE SOBRATO FAMILY FOUNDATION,CA,"$876,730,998", 270 , 287 , 10 ,0,6508767010,WWW.SOBRATO.ORG,JOHN A SOBRATO,CHAIR EMERITUS,Intermediary Funders,1
522136842,THE KEITH CAMPBELL FOUNDATION,MD,"$377,320,425", 268 , 17 , 30 ,0,3017614433,WWW.CAMPBELLFOUNDATION.ORG,D KEITH CAMPBELL,CHAIRMAN,Intermediary Funders,1
351813228,Lumina Foundation for Education Inc,IN,"$1,447,572,232", 263 , 16 , 37 ,4,3179515300,WWW.LUMINAFOUNDATION.ORG,Chi J Duong,Director,Intermediary Funders,1
