foundation_ein,name,state,lasso_score,keyword_grants,keyword_funding,siblings_funded,sibling_funding,median_grant,total_giving_5yr,unique_recipients_5yr,accepts_applications
136082277,THE GREENWALL FOUNDATION,DC,144.2,3,300215,1,25000,55166,12924591,42,t
366078558,The Spencer Foundation,IL,136.1,13,19490575,0,0,50000,90586487,213,t
854224393,TORREY COAST FOUNDATION,CA,135.0,5,1686599,0,0,166886,16003981,9,t
363644055,Omron Foundation Inc,IL,133.8,0,0,1,202,564,2983151,162,t
824411649,THE ELEVATE PRIZE FOUNDATION INC,FL,132.8,2,30000,0,0,50000,12239163,55,t
621322826,JOHN TEMPLETON FOUNDATION,PA,132.8,31,5336636,0,0,194954,412917033,274,t
522306995,EL-HIBRI FOUNDATION,DC,131.2,2,20000,0,0,15000,3125000,14,t
956957275,CHARITABLE TRUST UW OF T CAPOTE,CA,129.0,7,310000,0,0,50000,1829200,6,t
066034840,The Jane Coffin Childs Memorial Fund for,CT,127.7,125,7179906,0,0,54500,10019605,26,t
381359217,THE KRESGE FOUNDATION,MI,123.2,17,2609282,0,0,100000,482614315,811,t
510155772,E RHODES AND LEONA B CARPENTER,PA,120.5,10,432500,0,0,25000,33919771,265,t
237320631,WEXNER FOUNDATION,OH,120.5,55,5263420,0,0,20250,9280714,32,t
820482954,Paula Knickerbocker Foundation Inc,ID,117.9,0,0,1,200,400,78900,14,t
521439097,GORLITZ FOUNDATION LTD,DC,116.3,0,0,1,2000,1000,719283,137,t
540597601,Public Welfare Foundation Inc,DC,115.3,12,1449600,0,0,100000,92601456,265,t
311129589,MORIAH FUND INC,NY,113.6,2,150000,0,0,25000,11218760,54,t
133410749,THE ANDY WARHOL FOUNDATION FOR THE,NY,111.3,52,2573000,0,0,50000,61211125,186,t
521654193,CIC INC,DC,108.2,3,33500,0,0,10000,348050,3,t
823691183,DORIS DUKE CHARITABLE FOUNDATION INC,NY,105.4,45,13498445,0,0,100000,361768978,335,t
383332791,ARCUS FOUNDATION,NY,104.7,9,745000,0,0,50000,110882539,201,t
800314377,BIG G CHARITABLE FOUNDATION CORP,NJ,103.9,0,0,1,10000,5000,858333,19,t
200721133,THE BANK OF AMERICA CHARITABLE,NC,101.3,0,0,1,1200,300,1156185388,28856,t
166071043,PARK FOUNDATION INC,NY,101.2,4,484000,0,0,45000,93764273,352,t
341504501,Robert and Patricia Switzer Foundation,ME,100.7,5,830000,0,0,25000,1241933,4,t
376437195,ALEXANDER MCCAUSLAND CHARITABLE,NV,99.9,4,176553,0,0,20000,3375203,21,t
650464177,JOHN S AND JAMES L KNIGHT FOUNDATION,FL,99.2,56,13330500,0,0,100000,450855636,408,t
261900576,GURU KRUPA FOUNDATION INC,NY,91.2,8,1386000,0,0,25000,14227786,33,t
363739577,PLOUGHSHARES FOUNDATION,IL,88.9,0,0,1,28000,5000,13206500,186,t
521607300,The Morton K and Jane Blaustein,MD,87.4,3,145000,0,0,50000,15357170,75,t
680570762,NCMIC FOUNDATION INC,IA,87.3,42,211880,0,0,7500,3329411,15,t
916020515,STEWARDSHIP FOUNDATION,WA,87.0,2,50000,0,0,50000,21740025,90,t
131684331,THE FORD FOUNDATION,NY,85.9,250,47203275,0,0,100000,2269508092,2076,t
131879954,THE ANDREW W MELLON FOUNDATION,NY,83.8,113,128635745,0,0,500000,1451315810,709,t
131760106,ROCKEFELLER BROTHERS FUND INC,NY,83.6,13,1022053,0,0,60000,166113749,480,t
260316905,PETER G PETERSON FOUNDATION,NY,82.2,6,1058182,0,0,70000,104422299,67,t
364336415,Michael & Susan Dell Foundation,TX,81.9,7,170670,1,950000,17835,622610057,492,t
