foundation_ein,foundation_name,foundation_state,recipient_ein,recipient_name,amount,purpose_text,tax_year
205960904,LEGO COMMUNITY FUND US INC,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,50000,REIMAGINING BUILDING BLOCKS FOR GIRLS EDUCATION,2020
526037034,THE HARRY AND JEANETTE WEINBERG,MD,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,50000,TO SUPPORT THIS ORGANIZATIONS INTENSIVE SIX-WEEK SUMMER PROGRAM THAT BLENDS ACADEMICS AND ENRICHMENT FOR PK-2 STUDENTS,2020
621516244,JENIAM FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,40000,VARIOUS SPECIAL PROJECTS,2020
133151548,The Herbert & Nell Singer Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,25000,General & Unrestricted,2020
232867116,Horizon Foundation Inc,MA,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,20000,General Support,2020
136164229,BLANCHE T ENDERS CHARITBLE TR XXXXX5000,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,20000,GENERAL,2020
136084888,THE DYSON FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,5000,For general operating support.,2020
201076114,SEYFARTH SHAW CHARITABLE FOUNDATION,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,2000,GENERAL CHARITABLE PURPOSE,2020
841718891,The John and Diane Kim Foundation,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,1000,General & Unrestricted,2020
383668101,The Darrell Harvey Family Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,500,General & Unrestricted,2020
132989476,NEW YORK LIFE FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,325000,EDUC. GENERAL,2019
812297831,THE SMART FAMILY FUND,IL,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,200000,GENERAL SUPPORT,2019
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,170000,SUPPORT TO CREATE A TRANSPORTATION FUND TO SUPPORT FIELD TRIP PROGRAMMING AT AFFILIATE SITES & SUPPORT FOR THE SCHOOL-YEAR PROGRAMMING,2019
131623879,ALTMAN FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,75000,TO HELP ESTABLISH A NEW YORK CITY REGIONAL AFFILIATE AND LAUNCH TWO NEW HORIZONS PROGRAMS,2019
200523317,THE PITNEY BOWES FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,75000,ENGAGING READING SPECIALISTS TO EXPAND SOCIAL/EMOTIONAL DEVELOPMENT AND ACADEMIC LEARNING,2019
061606588,NEWMAN'S OWN FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,50000,BROADENING HORIZONS THROUGH READING AND SOCIAL EMOTIONAL SUPPORT,2019
810861760,THE RUTLEDGE FAMILY FOUNDATION,CT,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,20000,TO PROMOTE THE WORK OF THE ORGANIZATION,2019
136084888,THE DYSON FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,10000,For general operating support.,2019
136084888,THE DYSON FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,5000,For general operating support.,2019
237049738,JPMORGAN CHASE FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,1100,GENERAL OPERATING SUPPORT,2019
383668101,The Darrell Harvey Family Foundation Inc,DE,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,500,General & Unrestricted,2019
132989476,NEW YORK LIFE FOUNDATION,NY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,177000,EDUC. GENERAL,2018
472630731,THE SCRIPPS FAMILY FUND FOR EDUCATION,KY,061468129,HORIZONS NATIONAL STUDENT ENRICHMENT PROGRAM INC,100000,SUPPORT EXPANSION IN BRIDGEPORT AND DEVELOPMENT OF HORIZONS BRIDGEPORT WITH FUNDING FOR HIRING OF REGIONAL DIRECTOR AND SUPPORT STAFFING COSTS,2018
812433446,SMART FAMILY FOUNDATION OF ILLINOIS,IL,271476998,HORIZONS GREATER WASHINGTON INC,20000,"CULTURAL, HISTORICAL & OTHER EDUCATIONAL",2024
046528085,LEONARD & HILDA KAPLAN CHARITABLE,RI,271476998,HORIZONS GREATER WASHINGTON INC,20000,GENERAL FUNDING,2024
237000460,JOSEPH & ARKADI GERNEY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,1500,TO HELP ACTIVITIES OF VAR PUBLIC CHAR INST WHICH ARE EXEMPT UNDER 501 (C)(3),2024
276669056,HIMAN BROWN CHARITABLE TRUST,NY,271476998,HORIZONS GREATER WASHINGTON INC,150000,GENERAL,2023
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,60000,2024 ANNUAL SUPPORT YEAR 3/3,2023
272764310,ALISANN AND TERRY COLLINS FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,38000,GENERAL USE,2023
530237223,HATTIE M STRONG FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,25000,OST (SUMMER CAMP-ACADEMIC HOLISTIC ENRICHMENT),2023
237173302,REDSKIN FOUNDATION INC,MD,271476998,HORIZONS GREATER WASHINGTON INC,25000,TO SUPPORT YOUTH ACTIVITIES,2023
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,25000,2024 CAPACITY BUILDING GRANT YEAR 3/3,2023
812433446,SMART FAMILY FOUNDATION OF ILLINOIS,IL,271476998,HORIZONS GREATER WASHINGTON INC,25000,"CULTURAL, HISTORICAL & OTHER EDUCATIONAL",2023
521512330,CLARK CHARITABLE FOUNDATION INC,MD,271476998,HORIZONS GREATER WASHINGTON INC,20000,GENERAL OPERATING SUPPORT OF EDUCATION PROGRAMS,2023
046528085,LEONARD & HILDA KAPLAN CHARITABLE,RI,271476998,HORIZONS GREATER WASHINGTON INC,15000,GENERAL FUNDING,2023
